,lon,lat
0,11.22147768553527,52.08545568269619
1,11.22153581802984,52.085450538515346
2,11.221594050774373,52.08544741250288
3,11.2216523761048,52.08544615023627
4,11.221710784979122,52.085446569573826
5,11.221769268833457,52.085448498015815
6,11.221827821465485,52.085451810610564
7,11.221858335699778,52.08545420479736
8,11.221886431873028,52.0854562858167
9,11.22194509572617,52.085461836399574
10,11.222003821306448,52.08546862893953
11,11.22206260363593,52.08547656315867
12,11.222120258362768,52.085485235433694
13,11.222121431132125,52.08548540587951
14,11.222180264182526,52.08549435988898
15,11.222239117296153,52.085503717141705
16,11.222297980870547,52.08551328438109
17,11.222323182852012,52.08551737824619
18,11.222356836111777,52.0855226834221
19,11.222415691458256,52.08553208406994
20,11.222474569260035,52.08554193602406
21,11.222517834404425,52.085549676757545
22,11.222533478669105,52.085552423387945
23,11.222592422681439,52.08556360638819
24,11.222651428166069,52.08557602554969
25,11.222680219917242,52.08558258360812
26,11.222710484412692,52.085589465296216
27,11.222769597938997,52.085604056667904
28,11.222813920819313,52.08561603136818
29,11.222828785682612,52.085620140313196
30,11.222888063851594,52.085638042166444
31,11.222922166290916,52.08564995921438
32,11.222947527559286,52.08565967541363
33,11.222998918809632,52.085684481122485
34,11.223007397252795,52.0856894742177
35,11.223047285582238,52.08571953853074
36,11.223068426958495,52.085742605299735
37,11.223077810891002,52.0857549325354
38,11.223095909030219,52.08579056099797
39,11.223106580736179,52.085826329574104
40,11.223113385265663,52.0858621711123
41,11.223120137317839,52.085898013640104
42,11.223130759276474,52.08593378315242
43,11.223137033123145,52.085948130336895
44,11.223148154135588,52.085969424875934
45,11.223167742595674,52.08600502520871
46,11.223183981852335,52.08604068873054
47,11.223195174829279,52.086076447463064
48,11.22320110592948,52.08611230547549
49,11.223202007571466,52.08614825838327
50,11.223198344883711,52.086184297410405
51,11.223190526500797,52.08622041484633
52,11.223179008105141,52.08625660209245
53,11.223164864684922,52.08629283886512
54,11.22315537147503,52.08631699207689
55,11.22314733820854,52.086329139465505
56,11.223120644258387,52.08636561302817
57,11.223100510098579,52.086387952311775
58,11.22304198788655,52.08638527847602
59,11.223010488547654,52.08636769131082
60,11.22298233299713,52.08635982008082
61,11.222922715026927,52.086335102968285
62,11.222919595882747,52.08633343616723
63,11.222863271368874,52.08631389108677
64,11.222820198695588,52.08629934138991
65,11.222803958087594,52.08629530086883
66,11.222744830864823,52.08628045272122
67,11.222685943044668,52.08627042014149
68,11.222646497485526,52.08626664816688
69,11.222627292115174,52.086265152980324
70,11.22256885262586,52.08626413957079
71,11.22251060146356,52.08626691521487
72,11.22248772076679,52.086269643101275
73,11.22245252010812,52.086273107576766
74,11.222394623112868,52.08628300974866
75,11.22233699165685,52.086298255455944
76,11.222310214187145,52.08630896098881
77,11.222279699817422,52.086320335686075
78,11.222230606481624,52.08634643230532
79,11.222222817850286,52.08635066466753
80,11.222179203913962,52.086383371642775
81,11.222166579879914,52.086393954273966
82,11.222143627577267,52.08642001249223
83,11.222118282375126,52.08645646038477
84,11.222111928571389,52.08646917502152
85,11.222102806649122,52.08649272214755
86,11.22209511926421,52.08652883703173
87,11.222092830907695,52.08656485009783
88,11.22209481565363,52.086600782579495
89,11.222099990689307,52.086636654896864
90,11.222107427764424,52.086672484555045
91,11.222116305159462,52.086708287050186
92,11.222125524050664,52.086742759448484
93,11.222125943896813,52.086744075186616
94,11.222136461101792,52.08677984675534
95,11.222146508524055,52.08681562718264
96,11.222156205417269,52.08685141421965
97,11.22216563156795,52.086887206361716
98,11.222174636780371,52.086923006441474
99,11.222182771538424,52.08695882293652
100,11.222189284591543,52.08699467001503
101,11.222193194389453,52.08703056618854
102,11.222193434299276,52.087066531573136
103,11.222188985637057,52.087102585380386
104,11.222178932795972,52.08713874487717
105,11.222162452315848,52.08717502559157
106,11.222148152267039,52.087198101661
107,11.222138919282184,52.08721143930587
108,11.222107699699858,52.08724799797192
109,11.222092965843348,52.087262573897526
110,11.222066863336982,52.08728473798404
111,11.222036805925372,52.08730745924443
112,11.222013846585815,52.08732170767576
113,11.221980104959414,52.08734145882436
114,11.221942050909204,52.08735903145958
115,11.22192301604955,52.08736765297297
116,11.221865627155772,52.087387811297766
117,11.221829349403615,52.08739712652988
118,11.221807979072725,52.0874027543536
119,11.221750114009245,52.087413331235226
120,11.221692036866472,52.08741964024883
121,11.22163377080229,52.08742214716095
122,11.221575333965287,52.08742121695929
123,11.221516734288478,52.08741700904818
124,11.221457968062053,52.087409448493176
125,11.221431739919497,52.087404623220756
126,11.22139903938382,52.08739861751067
127,11.221339938702574,52.08738432357339
128,11.221296424388331,52.08737120430638
129,11.221280655705458,52.08736635879904
130,11.221221205740136,52.087345031846944
131,11.221201552927292,52.08733702284281
132,11.221161578180242,52.087320128515934
133,11.221124405583943,52.08730250720323
134,11.221101750719734,52.08729119944479
135,11.221058906710429,52.08726777194573
136,11.221041699777663,52.087257769552025
137,11.22100157334999,52.08723288274013
138,11.220981410951618,52.087219548491326
139,11.220949965023294,52.08719788559806
140,11.220920889482267,52.087176641366064
141,11.220902172937082,52.087162816504346
142,11.220860286677086,52.08713209422957
143,11.220854037871261,52.08712775385605
144,11.220800041975759,52.08709475497056
145,11.22079666430004,52.087092865310375
146,11.220740145908476,52.08706443352728
147,11.220727572590745,52.08705819758717
148,11.220680267440484,52.08703446480077
149,11.220659680637246,52.08702350721317
150,11.220620175344385,52.08700019271137
151,11.220601876725196,52.086988626684494
152,11.220559670668614,52.08695761059065
153,11.220554400576008,52.08695355149817
154,11.220514716430277,52.086918329452985
