date,TA_f,VPD_f,SW_IN_f,FC_2_f,GPP_FC_2_rei_f,RECO_FC_2_rei_f,GPP_FC_2_fal_f,RECO_FC_2_fal_f,GPP_FC_2_las_f,RECO_FC_2_las_f
2020-09-30,,,,,,,,,,
2020-10-01,,,,,,,,,,
2020-10-02,297.55388888888893,1386.9726797222222,,-0.4441453535571431,1.0123023243321663,0.5681569707750233,1.582548352259219,1.138402998702076,1.3288409641170464,0.8846956105599038
2020-10-03,296.14225000000005,1434.517986111111,,-0.6056799732685715,1.2632158122477144,0.6575358389791427,1.8746245259353642,1.2689445526667924,1.6577774427835077,1.0520974695149365
2020-10-04,295.1861805555556,1352.1909791666667,,-0.7735289595057142,1.3368056602935718,0.5632767007878573,1.969169021705486,1.1956400621997714,1.7551121363375994,0.9815831768318853
2020-10-05,294.4874930555555,1361.0645000000002,,-0.825447050165714,1.308652825376901,0.4832057752111867,1.9706569237772513,1.145209873611537,1.7693739529265455,0.9439269027608317
2020-10-06,295.3445763888888,1485.9899097222226,,-0.7978861894514283,1.206575420954244,0.4086892315028157,2.0033834716702503,1.2054972822188217,1.718129674481127,0.9202434850296988
2020-10-07,296.86581249999995,1713.7436476851854,,-0.6325969032942856,1.0579886217551842,0.42539171846089835,1.9581382876223976,1.325541384328112,1.5984815867438893,0.9658846834496041
2020-10-08,297.8679305555556,1881.249549557166,,-0.4644470447254286,0.9813210996412729,0.516874054915844,1.8790573240028472,1.4146102792774184,1.4974607323626195,1.0330136876371914
2020-10-09,297.97797916666667,1890.3219106682766,,-0.27922982307114297,0.9352184318695681,0.6559886087984254,1.7055561588312085,1.4263263357600653,1.4177088517255838,1.1384790286544415
2020-10-10,297.1173888888889,1671.8053671497582,,-0.2034932870111429,0.920625023202503,0.7171317361913602,1.5801999661232518,1.3767066791121085,1.4235847448387628,1.2200914578276205
2020-10-11,296.4785972222223,1426.3042569444442,,-0.35404798553285716,1.0400568847642397,0.6860088992313824,1.6971841316175862,1.3431361460847289,1.7966011415746872,1.4425531560418305
2020-10-12,296.2975138888889,1605.731284722222,,-0.4713581718157143,1.107047298273685,0.6356891264579705,1.8169374006717751,1.3455792288560608,2.4160049968374264,1.9446468250217126
2020-10-13,295.9582222222222,1808.2914999999996,,-0.5011710272677142,1.1221169252868046,0.6209458980190904,1.8231505597941273,1.3219795325264128,2.9047579702867092,2.4035869430189947
2020-10-14,295.1573263888888,1841.3421180555554,,-0.4767956627005714,1.0789338005321276,0.6021381378315565,1.7024799194219753,1.225684256721403,2.9933389945224724,2.5165433318219015
2020-10-15,293.7969166666666,1514.119736111111,,-0.5327857539034285,1.0766561789324927,0.5438704250290648,1.6529816485158955,1.1201958946124657,2.593714920424681,2.0609291665212535
2020-10-16,292.62595833333324,1279.266791666667,,-0.5456558854045714,1.0827718927298216,0.537116007325251,1.5940948379994744,1.0484389525949023,2.0893273023784293,1.543671416973859
2020-10-17,291.62272916666666,1187.5790208333335,,-0.2733712572545495,0.9781304689363354,0.7047592116817872,1.3479726728296673,1.0746014155751176,1.5682276608813925,1.2948564036268442
2020-10-18,292.0016180555556,1290.0546944444447,,0.007042605844291579,0.9660227792744523,0.973065385118745,1.154997120397075,1.1620397262413669,1.3412277383165563,1.3482703441608486
2020-10-19,293.7224236111112,1531.0918958333334,,0.27837581705743436,0.8809857504353742,1.1593615674928095,1.0074207118155207,1.2857965288729554,1.1832254051820426,1.4616012222394774
2020-10-20,296.5196041666667,1730.0574236111115,,0.5027130945659838,0.9255732410100675,1.4282863355760524,0.908964644533448,1.4116777390994322,1.032260114539917,1.5349732091059014
2020-10-21,298.10359027777776,1626.139604166667,,1.1340599079655842,0.7145096963426436,1.8485696043082296,0.32477496058620337,1.4588348685517876,0.6530004609162418,1.7870603688818267
2020-10-22,297.9951319444444,1386.4532675827425,,1.693694359965584,0.5677425562462594,2.2614369162118457,-0.2651828694161818,1.4285114905494025,0.3247123005168244,2.0184066604824094
2020-10-23,296.1835416666666,1242.4359273049643,,2.0453753322755843,0.5029222086439799,2.548297540919566,-0.6955861874855293,1.349789144790055,0.24445535812414843,2.289830690399733
2020-10-24,294.2001666666667,1164.6890036938532,,1.9470648150428573,0.7298121096800476,2.676876924722906,-0.6776650820272666,1.2693997330155902,0.5211259597872503,2.4681907748301075
2020-10-25,293.4196258865248,1198.0310888002361,,1.9476553692028578,0.9979947190080126,2.94565008821087,-0.7167248183283483,1.2309305508745085,0.8338569604706031,2.7815123296734607
2020-10-26,293.4310494976359,1224.5021328309692,,1.8653607100114293,0.9765704123220402,2.841931122333469,-0.6890133460224694,1.1763473639889588,0.8170570134256865,2.6824177234371156
2020-10-27,293.3200147754136,1271.9415772754135,,1.8133057922914289,1.0565597264006474,2.8698655186920763,-0.6903953245388985,1.12291046775253,0.8050433626523134,2.618349154943742
2020-10-28,293.312361111111,1317.4327454196216,,1.4646303671571435,1.208349797424744,2.6729801645818867,-0.36431658517717413,1.1003137819799684,0.8653526045990634,2.329982971756206
2020-10-29,294.0589097222221,1442.9505555555554,,0.9194600675057149,1.6652623132830418,2.584722380788756,0.22088446192708158,1.1403445294327954,1.5154611832994076,2.4349212508051217
2020-10-30,295.3147013888888,1625.7700972222221,,0.41198812610571506,1.8641899416919452,2.2761780677976593,0.7999227592215062,1.21191088532722,2.4475076993771228,2.859495825482837
2020-10-31,295.33763194444435,1594.320964539007,,0.17214605858857213,1.8384602228424771,2.0106062814310484,1.0433256089980245,1.215471667586595,2.998411341684285,3.1705574002728554
