yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2021,4,6,15,30,3.95,0.2,,3.2029985033202726,-78.765,0.77025384,0.398675,57.9323
2021,4,6,16,0,3.95,0.2,,3.2029985033202726,-97.3718,0.9021773999999999,0.40176799999999996,65.7075
2021,4,6,16,30,3.95,0.2,,3.2029985033202726,-124.021,0.71308064,0.362336,76.1383
2021,4,6,17,0,3.95,0.2,,3.2029985033202726,-274.905,0.6246670999999999,0.315096,73.6567
2021,4,6,17,30,3.95,0.2,,3.2029985033202726,-221.725,0.6333979999999999,0.320763,82.3447
2021,4,6,18,0,3.95,0.2,,3.2029985033202726,174.298,0.4733656,0.266239,85.95
2021,4,6,18,30,3.95,0.2,,3.2029985033202726,490.335,0.58919436,0.254743,93.515
2021,4,6,19,0,3.95,0.2,,3.2029985033202726,-176.303,0.43159473,0.24013400000000001,89.2814
2021,4,6,19,30,3.95,0.2,,3.2029985033202726,-110.421,0.35235634,0.18717999999999999,81.87100000000001
2021,4,6,20,0,3.95,0.2,,3.2029985033202726,141.84,0.5721425,0.177644,82.3182
2021,4,6,20,30,3.95,0.2,,3.2029985033202726,-522.8380000000001,0.36153559999999996,0.18469000000000002,91.4305
2021,4,6,21,0,3.95,0.2,,3.2029985033202726,-53.9251,0.4408072,0.158255,79.393
2021,4,7,0,0,3.95,0.2,,3.2029985033202726,33.2091,0.51493883,0.15704400000000002,85.3864
2021,4,7,1,30,3.95,0.2,,3.2029985033202726,173.252,0.29898176,0.15470699999999998,324.952
2021,4,7,2,0,3.95,0.2,,3.2029985033202726,-702.803,0.37577653,0.18658,337.777
2021,4,7,3,0,3.95,0.2,,3.2029985033202726,-723.85,0.45430276,0.168059,59.458
2021,4,7,7,0,3.95,0.2,,3.2029985033202726,14.8391,0.31420472,0.146176,223.38299999999998
2021,4,7,7,30,3.95,0.2,,3.2029985033202726,-21.7885,0.2763042,0.140245,229.65900000000002
2021,4,7,8,0,3.95,0.2,,3.2029985033202726,-12.1092,0.29025558,0.140421,232.502
2021,4,7,9,0,3.95,0.2,,3.2029985033202726,-11.9082,0.47074622,0.191877,277.361
2021,4,7,9,30,3.95,0.2,,3.2029985033202726,-13.3366,0.69894207,0.207213,322.191
2021,4,7,10,0,3.95,0.2,,3.2029985033202726,-35.7583,0.5695858,0.254438,346.99
2021,4,7,10,30,3.95,0.2,,3.2029985033202726,-57.1742,0.97964996,0.316934,1.8357900000000003
2021,4,7,11,0,3.95,0.2,,3.2029985033202726,-78.6669,0.82596004,0.363921,9.45589
2021,4,7,11,30,3.95,0.2,,3.2029985033202726,-92.8304,1.1102477,0.452557,12.1816
2021,4,7,12,0,3.95,0.2,,3.2029985033202726,-96.7784,0.98327816,0.4703,13.3079
2021,4,7,12,30,3.95,0.2,,3.2029985033202726,-76.2367,1.0670848,0.443042,14.5742
2021,4,7,13,0,3.95,0.2,,3.2029985033202726,-86.5608,1.0934486,0.440704,18.4081
2021,4,7,13,30,3.95,0.2,,3.2029985033202726,-108.756,0.988469,0.43520200000000003,15.9216
2021,4,7,14,0,3.95,0.2,,3.2029985033202726,-71.5298,1.0176,0.44467299999999993,12.1478
2021,4,7,14,30,3.95,0.2,,3.2029985033202726,-71.3029,1.111535,0.448767,22.1743
2021,4,7,15,0,3.95,0.2,,3.2029985033202726,-75.8646,0.99563193,0.42343800000000004,6.58208
2021,4,7,15,30,3.95,0.2,,3.2029985033202726,-90.8865,1.0094602,0.463213,5.49682
2021,4,7,16,0,3.95,0.2,,3.2029985033202726,-110.352,0.93201447,0.463265,6.27391
2021,4,7,16,30,3.95,0.2,,3.2029985033202726,-117.35700000000001,0.8548152,0.403192,8.31507
2021,4,7,17,0,3.95,0.2,,3.2029985033202726,-131.47799999999998,0.90589845,0.43190100000000003,21.1966
2021,4,7,17,30,3.95,0.2,,3.2029985033202726,-136.38,0.76340616,0.379242,20.4029
