yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2018,8,25,8,0,3.0,0.134,,1.7111465831269124,-396.8150713124725,0.6869729976970653,0.11546,70.51899999999999
2018,8,25,8,30,3.0,0.134,,1.7111465831269124,-564.044503918162,0.6869729976970653,0.10825,191.28099999999998
2018,8,25,9,0,3.0,0.134,,1.7111465831269124,-2323.147217878239,0.6869729976970653,0.14342,187.995
2018,8,25,9,30,3.0,0.134,,1.7111465831269124,-5179.618768190576,0.6869729976970653,0.17995999999999998,192.90400000000002
2018,8,25,10,0,3.0,0.134,,1.7111465831269124,-4391.5659483949685,0.6869729976970653,0.21176,195.767
2018,8,25,10,30,3.0,0.134,,1.7111465831269124,-5376.697297066784,0.6869729976970653,0.20095,188.855
2018,8,25,11,0,3.0,0.134,,1.7111465831269124,-19491.69472744276,0.6869729976970653,0.2648,203.579
2018,8,25,11,30,3.0,0.134,,1.7111465831269124,-11195.500333205713,0.6869729976970653,0.24028000000000002,191.105
2018,8,25,12,0,3.0,0.134,,1.7111465831269124,-26843.108645029813,0.6869729976970653,0.28239000000000003,196.645
2018,8,25,12,30,3.0,0.134,,1.7111465831269124,-19911.711044144056,0.6869729976970653,0.30265,194.4
2018,8,25,13,0,3.0,0.134,,1.7111465831269124,-7755.414540438115,0.6869729976970653,0.26871999999999996,193.83700000000002
2018,8,25,13,30,3.0,0.134,,1.7111465831269124,-4091.1701610117866,0.6869729976970653,0.20478,197.033
2018,8,25,14,0,3.0,0.134,,1.7111465831269124,-11922.085989821962,0.6869729976970653,0.32292,237.983
2018,8,25,14,30,3.0,0.134,,1.7111465831269124,-18396.469707546246,0.6869729976970653,0.32693,232.04
2018,8,25,15,0,3.0,0.134,,1.7111465831269124,-16583.309454023594,0.6869729976970653,0.32352,226.709
2018,8,25,15,30,3.0,0.134,,1.7111465831269124,-24532.89947388887,0.6869729976970653,0.29136999999999996,223.312
2018,8,25,16,0,3.0,0.134,,1.7111465831269124,-4863.1399413469235,0.6869729976970653,0.23508,221.702
2018,8,25,16,30,3.0,0.134,,1.7111465831269124,-1739.9271514084976,0.6869729976970653,0.18757000000000001,212.671
2018,8,25,17,0,3.0,0.134,,1.7111465831269124,-3752.435106962268,0.6869729976970653,0.26083,174.482
2018,8,25,17,30,3.0,0.134,,1.7111465831269124,-1011.9853652575873,0.6869729976970653,0.21236999999999998,168.63
2018,8,25,18,0,3.0,0.134,,1.7111465831269124,-1610.8641618560898,0.6869729976970653,0.19954000000000002,188.987
2018,8,25,18,30,3.0,0.134,,1.7111465831269124,-1972.9455330658466,0.6869729976970653,0.23208,171.99200000000002
2018,8,25,19,30,3.0,0.134,,1.7111465831269124,407.3408981465504,0.6869729976970653,0.13195,61.6811
2018,8,25,20,0,3.0,0.134,,1.7111465831269124,1248.3877402945266,0.6869729976970653,0.18347,56.2321
2018,8,25,21,30,3.0,0.134,,1.7111465831269124,11779.356696659326,0.6869729976970653,0.28436,357.61400000000003
2018,8,25,22,0,3.0,0.134,,1.7111465831269124,16488.95283420011,0.6869729976970653,0.31538,8.43188
2018,8,25,22,30,3.0,0.134,,1.7111465831269124,20858.757269107467,0.6869729976970653,0.36894,353.477
2018,8,25,23,0,3.0,0.134,,1.7111465831269124,3495.860711751662,0.6869729976970653,0.22705999999999998,354.339
2018,8,25,23,30,3.0,0.134,,1.7111465831269124,3715.903860428953,0.6869729976970653,0.25579,30.6794
2018,8,26,0,0,3.0,0.134,,1.7111465831269124,3679.346758247959,0.6869729976970653,0.22662,358.504
2018,8,26,0,30,3.0,0.134,,1.7111465831269124,10329.086310826198,0.6869729976970653,0.30319,352.805
2018,8,26,1,0,3.0,0.134,,1.7111465831269124,5279.008790429203,0.6869729976970653,0.24014000000000002,349.736
2018,8,26,1,30,3.0,0.134,,1.7111465831269124,2896.916991707661,0.6869729976970653,0.19772,358.264
2018,8,26,2,0,3.0,0.134,,1.7111465831269124,2656.328025909457,0.6869729976970653,0.20322,21.4238
2018,8,26,3,0,3.0,0.134,,1.7111465831269124,7126.424792471931,0.6869729976970653,0.2491,348.816
