yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,1,2,0,30,27.0,12.0,,2.848075510780529,686868.5382393557,2.1652861133593984,4.506,23.8
2019,1,2,1,30,27.0,12.0,,2.848075510780529,121883.17517838234,2.1652861133593984,2.307,14.4
2019,1,2,3,0,27.0,12.0,,2.848075510780529,-104267.58269639869,2.1652861133593984,1.2229999999999999,13.0
2019,1,2,3,30,27.0,12.0,,2.848075510780529,-63922.44930263625,2.1652861133593984,1.04,11.3
2019,1,2,4,0,27.0,12.0,,2.848075510780529,-155343.03025075278,2.1652861133593984,1.306,9.6
2019,1,2,5,30,27.0,12.0,,2.848075510780529,-30046.103506411073,2.1652861133593984,1.199,1.4
2019,1,2,6,0,27.0,12.0,,2.848075510780529,-7977.503335306784,2.1652861133593984,1.002,0.9
2019,1,2,6,30,27.0,12.0,,2.848075510780529,-405774.5730973647,2.1652861133593984,3.784,1.7
2019,1,2,7,0,27.0,12.0,,2.848075510780529,-370550.26752874476,2.1652861133593984,3.614,3.2
2019,1,2,7,30,27.0,12.0,,2.848075510780529,-352604.94803580584,2.1652861133593984,3.557,1.4
2019,1,2,8,0,27.0,12.0,,2.848075510780529,-12757.936253048312,2.1652861133593984,1.177,359.6
2019,1,2,8,30,27.0,12.0,,2.848075510780529,-8697.939351498066,2.1652861133593984,1.036,359.6
2019,1,2,9,0,27.0,12.0,,2.848075510780529,-13830.24216071176,2.1652861133593984,1.175,1.2
2019,1,2,11,30,27.0,12.0,,2.848075510780529,-2175.49937002644,2.1652861133593984,1.117,350.1
2019,1,2,12,0,27.0,12.0,,2.848075510780529,-2456.903453965262,2.1652861133593984,1.128,350.8
2019,1,2,12,30,27.0,12.0,,2.848075510780529,-1314.380710687924,2.1652861133593984,0.9159999999999999,347.0
2019,1,2,13,0,27.0,12.0,,2.848075510780529,-1412.1529849957315,2.1652861133593984,0.922,347.0
2019,1,2,15,0,27.0,12.0,,2.848075510780529,-1286.460193897646,2.1652861133593984,0.846,344.3
2019,1,2,17,0,27.0,12.0,,2.848075510780529,-70.63630895022524,2.1652861133593984,0.267,346.8
2019,1,2,18,0,27.0,12.0,,2.848075510780529,-122.7232780160488,2.1652861133593984,0.321,339.4
2019,1,2,18,30,27.0,12.0,,2.848075510780529,-54.56242051020784,2.1652861133593984,0.245,339.9
2019,1,2,19,0,27.0,12.0,,2.848075510780529,-41.68925082578533,2.1652861133593984,0.22399999999999998,335.5
2019,1,2,21,0,27.0,12.0,,2.848075510780529,-4146.6781261206925,2.1652861133593984,0.597,332.0
2019,1,2,21,30,27.0,12.0,,2.848075510780529,-7181.293297726778,2.1652861133593984,0.7170000000000001,334.3
2019,1,2,22,0,27.0,12.0,,2.848075510780529,-14920.96409207965,2.1652861133593984,0.7509999999999999,332.7
2019,1,2,22,30,27.0,12.0,,2.848075510780529,15691.000346821298,2.1652861133593984,0.7559999999999999,333.8
2019,1,2,23,0,27.0,12.0,,2.848075510780529,5531.549299547981,2.1652861133593984,0.7979999999999999,330.6
2019,1,3,0,30,27.0,12.0,,2.848075510780529,2173.191906833545,2.1652861133593984,0.701,338.3
2019,1,3,1,0,27.0,12.0,,2.848075510780529,1642.2218242940216,2.1652861133593984,0.664,336.0
2019,1,3,1,30,27.0,12.0,,2.848075510780529,1106.251121054126,2.1652861133593984,0.77,327.7
2019,1,3,2,0,27.0,12.0,,2.848075510780529,4303.884122082393,2.1652861133593984,0.956,334.3
2019,1,3,3,30,27.0,12.0,,2.848075510780529,92.06556638381632,2.1652861133593984,0.46,331.9
2019,1,3,4,0,27.0,12.0,,2.848075510780529,64.59215267991519,2.1652861133593984,0.244,331.9
2019,1,3,4,30,27.0,12.0,,2.848075510780529,650.642146000757,2.1652861133593984,0.527,336.6
2019,1,3,5,0,27.0,12.0,,2.848075510780529,917.3593847578104,2.1652861133593984,0.591,340.7
2019,1,3,5,30,27.0,12.0,,2.848075510780529,513.0944193295147,2.1652861133593984,0.48700000000000004,351.9
