date,NDVI,EVI,EVI2,MNDVI,MNDWI,LSWI,NDII,CLr
2017-04-30,0.6904818942675952,0.4047099982980286,0.38549089683171306,0.4061712902259765,-0.5496288977091282,0.17713000401149226,0.40304890568005436,1.587038907567106
2017-05-27,0.8876164854032478,0.6413876348633462,0.6285439578487186,0.640434958897095,-0.5777541924297405,0.4156953788065304,0.6762173117661607,4.078592199395924
2017-06-19,0.8586075089699174,0.6051066012129345,0.5857567582807435,0.6468851521249264,-0.6000310722143863,0.3865366757950027,0.6591152059684585,4.379577889514026
2017-07-19,0.7458105847360994,0.4999527305543988,0.4695268217556435,0.5633969580099064,-0.5774034926625075,0.2842811885249158,0.5523807448636112,3.63823429664303
2017-07-29,0.6501914649655353,0.4435705956156499,0.4046657208618428,0.4849573649969677,-0.5125107540744069,0.22482055923682204,0.4799016529189792,2.7195273814592897
2017-08-25,0.6517008806498406,0.4630259666272839,0.4249254250610541,0.48218706721041843,-0.49423229802922813,0.24399547231750707,0.4935310320122701,2.5361044844760845
2017-09-04,0.7471852874077654,0.4978761951253795,0.4737716167624286,0.5468406075461728,-0.5740555762265243,0.2973467110897522,0.5569054942945942,3.113986313180692
2017-09-14,0.7960714855758722,0.47143339666014045,0.4581457136341011,0.5624726926028463,-0.6297733560936455,0.29612455949376854,0.5693171823421252,3.2420010003489055
2017-10-14,0.6964203735311016,0.39301727243705464,0.3681674833277312,0.4616664507535879,-0.5383609405197286,0.22448732747318037,0.5025068097898678,2.282235952376664
2017-10-17,0.5956251407970963,0.33948447708143253,0.30036467418870283,0.350203141119397,-0.4401548942860172,0.15377718098241014,0.43019815579118575,1.2265088951167247
2017-11-03,0.6091752744225702,0.3404051508048869,0.30174211096233283,0.3229340883172239,-0.44612790039292094,0.15378247488388527,0.4181672158248067,0.9988394976937153
2017-11-06,0.6524325719766767,0.34968100696497634,0.31818089591489523,0.3382868495521868,-0.5117395701001963,0.1712195705764608,0.4106209259763371,1.165386976946958
2017-12-18,0.6228096267914195,0.3301195057933839,0.3045544053142266,0.3359094485086149,-0.5575150072657198,0.14860286031045508,0.3649063310640731,1.1634912091464904
2018-01-10,0.549866689539674,0.29309433272755653,0.2707456232271846,0.3084769174900854,-0.5349089795555673,0.11496286291001578,0.31692208005987577,1.0005747178877218
2018-01-27,0.4448902462258377,0.25272593341582356,0.21939910338227944,0.24547755677267677,-0.34296352946614217,0.1654182399862961,0.3459589371481595,0.7463260424978311
2018-02-09,0.37097746937572074,0.22985075624382945,0.1815280923405394,0.18625266636849236,-0.13870887333079748,0.26437435060836234,0.43069607056212467,0.5145524267300663
2018-02-14,0.37373673569830773,0.22941486613037185,0.18284579582040356,0.1777273656047759,-0.12366025983924395,0.300163838755829,0.468707926518564,0.47460477296626813
2018-02-16,0.4140948707378338,0.23062097478196592,0.20014267380012116,0.2042223902200447,-0.2969047503068019,0.19357703816524438,0.35857654162940944,0.5654041958506268
2018-03-01,0.41288160647328104,0.2138993560919901,0.19549626082673838,0.21011683320000235,-0.4535199418215909,0.03316405841475693,0.1869657710949007,0.5795631631046618
2018-03-03,0.3963586025749283,0.2066276529378429,0.18769733394139299,0.1976536323775987,-0.5159329074788758,-0.061482194507595775,0.1057329341405906,0.5309552255325645
2018-04-02,0.3979060130764065,0.2169197358696156,0.19279245078084487,0.19207537739441405,-0.5073364358624004,-0.06154151527316616,0.12722532361705213,0.49513885437153093
2018-04-07,0.43023113638844446,0.23788932801177454,0.21264273223073532,0.21651070974681025,-0.5201716051556209,-0.045112420665054095,0.14265887361723445,0.5849686791414109
2018-04-10,0.48751133442298544,0.26929178198970355,0.24604441157150075,0.26791354458977573,-0.545246123967271,-0.01963119686848922,0.16317513973000455,0.8130444559525899
2018-04-17,0.56449146902573,0.32347792958803917,0.2963405317500345,0.3297086279730255,-0.5369463265398858,0.0447305975267237,0.24558614897722225,1.1209454005335346
2018-04-20,0.6409044398159728,0.3959140502311167,0.36342383534273137,0.38376781214709954,-0.49311511200711633,0.14046810020668854,0.3697727782651019,1.3969749335785537
2018-04-22,0.7152397379067597,0.4836090249543631,0.4499351613609073,0.4472844737983759,-0.4664698440345097,0.24396477061162553,0.48849602886073074,1.8438240533640582
2018-05-07,0.7796356276544565,0.5613700269133878,0.528015499661794,0.5272893311235306,-0.47336027031215366,0.33714993288581474,0.581358729948388,2.5617469607621866
2018-05-10,0.8230149797838229,0.607351020933978,0.5701545350107056,0.5994760535558528,-0.505382912267106,0.39405374759621814,0.6324744934110899,3.398099070151261
2018-05-20,0.8409447983822393,0.619796017855697,0.5851148590455431,0.6339807593922705,-0.5494523615694525,0.4020307566951463,0.6440327929678243,3.975317000554395
2018-05-22,0.843243712119518,0.6206785335605931,0.5945062431967276,0.6412857273119972,-0.5781421570467143,0.39413651368091895,0.6460248653892208,4.181503121490227
2018-05-25,0.8186286507937409,0.6241317667114651,0.5864827614234156,0.631529882642349,-0.5424818038116848,0.3929678703172681,0.6489086916184401,3.947198961124699
2018-05-30,0.7757253672168407,0.6241749326166584,0.5539677752697743,0.6113573544816836,-0.45546460191402105,0.3993947727309747,0.6472794686971253,3.5401430597016637
2018-06-04,0.7653934822403048,0.6152632034804311,0.5372399841104264,0.6046091138977421,-0.4340224230333556,0.3941823575229362,0.6403689054850852,3.4625953607861373
2018-06-09,0.7977909109799569,0.6115284729909511,0.5590441767360456,0.6200128985783513,-0.5053601127650701,0.3811616619488642,0.6362153378061229,3.7819832134982896
