date,NDVI,EVI,EVI2,MNDVI,MNDWI,LSWI,NDII,CLr
2017-05-27,0.49231036019171326,0.30964797098175684,0.3107913680370028,0.26731414425840067,-0.5933695158338501,-0.04875479710008299,0.18058371333024129,0.763692266864562
2017-06-16,0.6647635824891788,0.4617700043362204,0.4458837528890957,0.411015015549372,-0.5569850318109675,0.1317206635642136,0.3933740173088032,1.5167808569305317
2017-06-19,0.7345568375355612,0.5228498178782739,0.5035296785709142,0.47375257051999686,-0.5496392648660078,0.20391370510874077,0.4800620906452291,1.8553016923788948
2017-06-26,0.7510966611317259,0.5350972954895901,0.5172398160853435,0.4905545272582975,-0.5532550057493304,0.2216087359245517,0.5015553177262423,1.9600717238878593
2017-07-06,0.746671186283241,0.5259785161739852,0.5092913990445272,0.4856504134580504,-0.5569874387878793,0.21918090115130917,0.4976175425706044,1.952790698557
2017-07-19,0.7505996412987019,0.5300165107349004,0.5128901196145128,0.4808719233931153,-0.5679292681467742,0.21407806472273777,0.493776542028448,1.9330866736755326
2017-07-26,0.7446823304535153,0.5206412172830349,0.5004621399752633,0.4730199084353746,-0.5636337779715528,0.20785097008039594,0.48765988628117946,1.88366956097712
2017-08-05,0.7170747059431052,0.4855252973737379,0.4604749234096068,0.4529587126674916,-0.5354482336672857,0.1990897349309422,0.47519850405483455,1.7601966691506923
2017-08-15,0.6911850257307777,0.4497718406637811,0.4222031871160589,0.4382306245145334,-0.503692851395589,0.19609460390723576,0.4695607272067618,1.6617923933415806
2017-08-18,0.6830453197794275,0.4217769964728927,0.3975821838198314,0.4326324223500313,-0.5011923099360961,0.19164784986724406,0.464326136474954,1.6077375124180595
2017-08-25,0.6676511134570199,0.3848185304679452,0.3672425699319731,0.4180702607297468,-0.514818265714286,0.17272444297753062,0.4426619455761703,1.5213125023891998
2017-09-07,0.6385118514636166,0.36381929311482203,0.35550015056070955,0.3829638734137296,-0.5488187363801281,0.13061413606901698,0.4013458860070094,1.3353915880498886
2017-10-07,0.5752311513667294,0.32319640218305545,0.3260358926015259,0.32629777750979233,-0.5777437095567928,0.07406336818775544,0.34512605256235884,1.0530606313523008
2017-10-14,0.4915776368810561,0.26204812227169694,0.2716183443764176,0.2621601383034431,-0.5851909198495161,0.014439136350773308,0.27980025933209696,0.736801729130078
2017-10-17,0.4383238492723155,0.2322505370109259,0.23890985315398908,0.22866911837971576,-0.5732272019604211,-0.02170238442729319,0.23501643545454576,0.5812435302721096
2017-11-03,0.4579457412966401,0.2633234785837972,0.25888675135229855,0.2495513765264894,-0.5598863525582359,-0.013859171839290871,0.23445816246753257,0.686044973605442
2018-06-09,0.5215559770562771,0.3181249771943928,0.30351557052978767,0.30265445465883317,-0.5473312447103695,0.022645605605606894,0.2660314528282828,0.9430995720593687
2018-06-14,0.5944621991692436,0.3848619833786848,0.3598720837538652,0.36135394659657805,-0.5274667936466714,0.07591008755943082,0.3208033265739023,1.217719490935889
2018-06-19,0.6408801517377862,0.4484390384889714,0.41567201167800455,0.39985327559472283,-0.5096127933003509,0.1240142074215624,0.37522961624407336,1.3941843311853228
2018-06-21,0.6700939554298088,0.48864942523809546,0.45426989113378713,0.42430432638837373,-0.5094986490084524,0.1561137683195217,0.4145907382086168,1.5162305576582151
2018-06-26,0.6769731637992171,0.4873969809132141,0.4536575977922081,0.43613825258503414,-0.49586223219748543,0.18089008340424656,0.4433486886167801,1.603545905833849
2018-07-01,0.704357750035045,0.4693075749391883,0.4392648020119567,0.4632037341991344,-0.49826636271696606,0.20793825459080603,0.4762670978086994,1.7867244898165335
2018-07-04,0.706063596128634,0.44749492671408,0.41949399501339973,0.46869552237064555,-0.488303011098743,0.22143502731807885,0.48715146921253377,1.8447088789156887
2018-07-09,0.6664052014512478,0.42781623461966645,0.39001541208204527,0.44488027433725047,-0.4342116720140183,0.23208305886415187,0.4807751423129255,1.7325976192372723
2018-07-11,0.6023265143290049,0.4244122859863948,0.3699608611585242,0.40237451297052196,-0.3611962714594934,0.23660104485879213,0.4643354078437439,1.5026533416079175
2018-07-14,0.6054151763718824,0.4606225618264279,0.4017439029210474,0.3989270511296642,-0.36760310565450444,0.23620327848691006,0.46175111034219773,1.4782674470583395
2018-07-19,0.6461484229560918,0.4773598069140386,0.4308392874376418,0.4212441797237685,-0.41352087231910933,0.23651685575139167,0.47565549346114233,1.6130894823005568
2018-07-26,0.717457536402804,0.48846325457019213,0.4603073962708722,0.4674729458874461,-0.5044461571634715,0.22519236865800887,0.4898377421727483,1.8791563588373537
2018-07-29,0.7348416404184711,0.5018404900185532,0.4720257754937129,0.4814697089198108,-0.5438883321913011,0.2047278234776337,0.4790153367058342,1.9435599275654516
2018-08-03,0.6950717449783557,0.5121774495423628,0.4599003507421154,0.45957046149866054,-0.5068249484580504,0.1959800612883943,0.46082485669140427,1.7998830869717604
2018-08-05,0.6517382271428578,0.51733930961039,0.4481685219336223,0.43196412897546926,-0.4541735282086173,0.19824839949701104,0.4541808823830142,1.6289404307771616
2018-08-08,0.6619738717810765,0.5353072786477019,0.4673090239909299,0.4331870838425069,-0.4635055340775101,0.1990468896289426,0.4576062226138943,1.6256072596371896
2018-08-10,0.6903362023232327,0.5289673603586893,0.47831819859616603,0.44395516915481364,-0.4944708528035459,0.1993681070294786,0.4640240553432285,1.6977383607709762
2018-08-15,0.7098614609997942,0.5120949641805816,0.47984533376211136,0.4516762696763557,-0.5238397723685841,0.19296697082663375,0.46656994014842335,1.7469512756132763
