DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	045
DATA	2021-04-26T233000_smart3-00433.ghg	2021-04-27	00:00:00	117	0	18000	18000	-0.0596016	0	NaN	-1.53667	2	NaN	17.9736	0	NaN	-0.09253	2	NaN	0.406663	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.4146e-11	-2.26295e-12	NaN	NaN	17.7317	429.211	437.051	0	1	741.068	17.9382	18.2659	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.834	293.164	101267	1.19533	1015.36	0.0242059	0.0263518	0.0133541	1806.68	2331.82	0.0111718	77.4793	525.141	289.062	-1.11424	-1.91524	0.0297235	2.21598	-1.21413e-13	-3.05363e-15	2.21598	5.58977	16.1622	239.81	0.768545	NaN	0.223298	0.421064	638.669	0.00626302	-0.0854963	0.00567006	0	89.2326	-13.5414	30.6307	76.2747	116.324	163.146	244.422	-0.0592056	1.00669	-0.455957	1.01127	17.1281	1.0389	-0.182436	1.0389	0.387534	1.0389	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001019	899999999	899999999	89999	89999	89	89	7	8	1	0	16	23	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	33	0.431669	0.331845	0.0786145	0.189435	0.0240965	28.1146	NaN	NaN	-0.000375676	-0.000182436	0.387534	NaN	NaN	289.281	100615	24.46	423.856	17.7143	15.6325	32.5667	533.107	0.177782	0.000409038	0.000407402	0.0000392581	0.0000461191	9999.99	9999.99	9999.99	100592	0.00018	290.234	034
DATA	2021-04-27T000000_smart3-00433.ghg	2021-04-27	00:30:00	117.0208	0	18000	18000	-0.10865	0	NaN	-14.5256	0	NaN	29.5763	0	NaN	0.0172861	1	NaN	0.668904	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.61403e-12	3.56699e-13	NaN	NaN	17.7796	429.718	437.503	0	0	736.237	17.7943	18.1166	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.387	292.733	101267	1.19716	1015.27	0.0241692	0.043345	0.013267	1792.26	2270.31	0.0110821	78.9433	478.052	288.937	-0.775336	-3.16605	0.0273348	3.25972	-6.22125e-14	4.8449e-16	3.25972	7.54175	358.167	256.24	0.480467	NaN	0.301258	0.643704	165.909	0.0241096	-0.491124	0.03967	0	88.5091	-13.4316	30.3823	75.6562	115.381	161.823	242.44	-0.107879	1.00714	-12.6109	1.01404	28.7321	1.05742	0.432444	1.05742	0.649812	1.05742	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800001019	800001019	899999999	899999999	89999	89999	89	89	16	4	1	1	26	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	4801	4801	0	31	18000	18000	18000	18000	NaN	38	0.804389	0.336987	0.146033	0.0913375	0.0205149	57.6389	NaN	NaN	-0.0103756	0.000432444	0.649812	NaN	NaN	289.308	100574	24.436	425.213	17.6077	15.5315	38.0535	759.312	0.455846	0.000358163	0.000356265	0.0000349613	0.000040482	9999.99	9999.99	9999.99	100550	0.00035	290.23	207
DATA	2021-04-27T003000_smart3-00433.ghg	2021-04-27	01:00:00	117.0416	0	18000	18000	-0.108825	0	NaN	-4.34809	2	NaN	23.9517	0	NaN	-4.69914	2	NaN	0.542235	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.47407e-11	-4.00468e-12	NaN	NaN	17.2174	417.613	425.117	0	1	727.776	17.6525	17.9697	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.407	293.76	101257	1.19292	1015.21	0.0242553	0.0351368	0.0131145	1777.88	2419.39	0.0109937	73.4847	641.509	288.811	-0.45318	-3.44133	0.0223562	3.47111	4.35334e-15	-5.50263e-15	3.47111	7.19076	352.673	262.498	0.369025	NaN	0.302037	0.584591	558.518	0.0071618	-0.181536	0.011887	0	87.2311	-13.2377	29.9436	74.5638	113.715	159.486	238.939	-0.108083	1.00687	-2.8932	1.01352	22.6478	1.05636	-4.46244	1.05636	0.512715	1.05636	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	14	6	0	7	7	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	49	0.674448	0.342511	0.152224	0.640335	0.0697115	29.1956	NaN	NaN	-0.00238897	-0.00446244	0.512715	NaN	NaN	289.625	100551	24.43	412.311	17.4285	15.3684	49.173	105.907	1.21389	0.000338599	0.000337268	0.0000338147	0.0000387307	9999.99	9999.99	9999.99	100526	0	290.338	223
DATA	2021-04-27T010000_smart3-00433.ghg	2021-04-27	01:30:00	117.0624	0	18000	18000	-0.162419	0	NaN	2.64706	2	NaN	38.5151	0	NaN	6.07627	1	NaN	0.872388	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.66209e-11	-3.65715e-12	NaN	NaN	17.2221	418.556	426.086	0	0	727.119	17.6715	17.9894	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.954	294.302	101243	1.19055	1015.24	0.0243035	0.0565307	0.0131027	1779.56	2501.36	0.0110056	71.1436	721.801	288.826	-1.21924	-4.04782	0.00782409	4.22747	-6.31226e-14	-5.02964e-15	4.22747	8.47952	1.93929	253.237	0.106042	NaN	0.369355	0.945865	-1677.61	-0.00238434	0.0687277	-0.0059293	0	87.9177	-13.3419	30.1793	75.1507	114.61	160.742	240.82	-0.161086	1.00827	4.85085	1.01514	35.4311	1.0612	5.26289	1.0612	0.802533	1.0612	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800001119	800001119	899999999	899999999	89999	89999	89	89	6	3	1	1	14	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	54	0.958836	0.70967	0.223223	0.661321	0.0417266	80.7991	NaN	NaN	0.00401331	0.00526289	0.802533	NaN	NaN	289.426	100499	24.43	412.344	17.4097	15.3424	54.3041	832.127	0.209736	0.000373157	0.000371973	0.000035144	0.0000414229	9999.99	9999.99	9999.99	100481	0.00025	290.573	137
DATA	2021-04-27T013000_smart3-00433.ghg	2021-04-27	02:00:00	117.0833	0	18000	18000	-0.115795	0	NaN	-13.0177	0	NaN	19.7325	0	NaN	2.99674	0	NaN	0.446421	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.04778e-11	2.95216e-12	NaN	NaN	17.0887	413.534	420.823	0	0	715.809	17.322	17.6273	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.684	293.072	101243	1.19571	1015.02	0.0241992	0.0289281	0.0128989	1744.55	2318.63	0.0107877	75.2406	574.079	288.516	-1.40706	-2.82539	0.0293545	3.15651	-3.74544e-14	4.12422e-15	3.15651	6.32098	11.7293	243.526	0.53284	NaN	0.311195	0.520409	204.007	0.0196071	-0.659708	0.0344671	0	89.4472	-13.574	30.7043	76.4581	116.603	163.538	245.01	-0.114988	1.00702	-11.6956	1.01364	19.4773	1.0551	3.25896	1.0551	0.440647	1.0551	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800001019	800001019	899999999	899999999	89999	89999	89	89	21	10	2	8	24	18	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	56	0.526931	0.362116	0.151771	0.0618597	0.0485165	92.0574	NaN	NaN	-0.00963666	0.00325896	0.440647	NaN	NaN	289.239	100476	24.4347	408.984	17.1319	15.0889	56.7389	374.551	0.566577	0.000432604	0.000430872	0.0000397182	0.0000474103	9999.99	9999.99	9999.99	100451	0.0005	290.303	160
DATA	2021-04-27T020000_smart3-00433.ghg	2021-04-27	02:30:00	117.1041	0	18000	18000	-0.12242	0	NaN	-9.13622	1	NaN	25.9077	0	NaN	2.26641	1	NaN	0.58592	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.602e-11	6.61076e-13	NaN	NaN	16.8239	406.769	413.714	0	0	694.25	16.7856	17.0722	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.269	292.709	101189	1.19679	1014.71	0.0241781	0.0379676	0.0125104	1689.92	2267.08	0.0104533	74.5416	577.164	288.021	-2.13669	-2.70178	0.0628663	3.44515	1.03508e-13	9.52216e-16	3.44515	6.59814	22.4695	231.661	1.04558	NaN	0.319829	0.806181	315.399	0.0126823	-0.352645	0.0235229	0	85.4743	-12.971	29.3405	73.0621	111.424	156.274	234.127	-0.121571	1.00699	-7.51045	1.01381	24.8366	1.05747	2.32792	1.05747	0.561697	1.05747	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	13	6	4	1	2	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	70	0.759417	0.67335	0.179593	0.117985	0.0768458	33.0992	NaN	NaN	-0.00618455	0.00232792	0.561697	NaN	NaN	289.269	100465	24.44	402.736	16.6194	14.6166	70.0512	107.175	1.23901	0.000415356	0.000413197	0.0000381191	0.0000454184	9999.99	9999.99	9999.99	100437	0.0001	290.139	231
DATA	2021-04-27T023000_smart3-00433.ghg	2021-04-27	03:00:00	117.1249	0	18000	18000	-0.0822056	0	NaN	-18.7284	0	NaN	15.841	0	NaN	1.62889	0	NaN	0.358558	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.01959e-12	1.26116e-13	NaN	NaN	16.3996	397.679	404.396	0.1	0	684.949	16.6095	16.8901	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.136	293.587	101189	1.19328	1014.63	0.0242493	0.0232346	0.0123428	1672.28	2393.83	0.0103435	69.8581	721.544	287.859	-2.34139	-1.89333	0.0759741	3.01207	-3.97068e-14	1.84125e-16	3.01207	5.74036	36.2081	218.96	1.44534	NaN	0.262469	0.452847	85.0359	0.047039	-1.18228	0.0589347	0	83.769	-12.7123	28.7552	71.6045	109.201	153.156	229.456	-0.0815912	1.00753	-17.5376	1.0148	16.2176	1.05895	2.22022	1.05895	0.367084	1.05895	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000119	899999999	899999999	89999	89999	89	89	8	10	0	11	22	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.524423	0.25407	0.127201	0.0346968	0.00208323	11.8271	NaN	NaN	-0.014485	0.00222022	0.367084	NaN	NaN	289.182	100466	24.456	392.46	16.3916	14.4035	76.8095	92.6421	1.8073	0.00042385	0.000421326	0.000041214	0.0000476573	9999.99	9999.99	9999.99	100434	0	290.176	006
DATA	2021-04-27T030000_smart3-00433.ghg	2021-04-27	03:30:00	117.1458	0	18000	18000	-0.0629341	0	NaN	-19.886	0	NaN	10.5826	0	NaN	1.60117	0	NaN	0.239745	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.96097e-11	2.91044e-12	NaN	NaN	16.3963	398.264	405.009	0.1	0	685.542	16.6518	16.9338	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.046	294.488	101331	1.19128	1014.67	0.02429	0.0155355	0.0123535	1678.87	2530.24	0.0103699	66.3521	851.371	287.919	-2.05444	-1.77197	0.0519534	2.71354	2.03332e-14	4.24546e-15	2.71354	5.19434	33.9302	220.778	1.09705	NaN	0.229845	0.346587	53.836	0.0742997	-1.87912	0.0715766	0	80.5715	-12.227	27.6576	68.8713	105.033	147.31	220.698	-0.0624387	1.00793	-18.9682	1.01552	11.4187	1.05948	2.28617	1.05948	0.258686	1.05948	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	6	0	3	14	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	78	0.379205	0.206456	0.107512	0.252688	0.00109806	11.2258	NaN	NaN	-0.0156923	0.00228617	0.258686	NaN	NaN	289.16	100465	24.4627	392.356	16.4048	14.4158	77.42	106.409	1.14174	0.000441916	0.000440036	0.0000424346	0.0000497002	9999.99	9999.99	9999.99	100432	0	290.051	244
DATA	2021-04-27T033000_smart3-00433.ghg	2021-04-27	04:00:00	117.1666	0	18000	18000	-0.0730834	0	NaN	-11.2905	0	NaN	14.2347	0	NaN	2.9353	0	NaN	0.322749	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.21879e-12	2.19817e-13	NaN	NaN	16.4426	400.837	407.72	0.1	0	692.566	16.8833	17.1733	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.933	295.35	101268	1.18697	1014.82	0.024378	0.0209142	0.01248	1701.03	2666.89	0.0105142	63.7832	965.864	288.123	-1.87424	-1.1758	0.0514667	2.21312	-3.92508e-14	3.17395e-16	2.21312	4.61575	45.1723	212.102	1.33255	NaN	0.248136	0.438945	119.262	0.0335396	-0.793173	0.0377743	0	95.4482	-14.4846	32.7643	81.5877	124.426	174.51	261.447	-0.0725697	1.00708	-10.3051	1.01261	14.3355	1.04391	3.18843	1.04391	0.325036	1.04391	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800001119	800001119	899999999	899999999	89999	89999	89	89	7	6	2	30	36	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	79	0.470889	0.324965	0.0820356	0.0244318	0.00293769	18.6297	NaN	NaN	-0.00855505	0.00318843	0.325036	NaN	NaN	289.324	100462	24.48	393.698	16.5827	14.5822	77.1024	124.693	1.07507	0.000414521	0.000412293	0.000039207	0.0000462649	9999.99	9999.99	9999.99	100424	0	290.067	133
