DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	129
DATA	2020-10-05T233000_smart3-00433.ghg	2020-10-06	00:00:00	280	0	18000	18000	0.00860784	1	NaN	-0.586483	2	NaN	-0.987176	2	NaN	-0.586943	2	NaN	-0.0223266	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.70152e-11	2.59333e-12	NaN	NaN	17.2663	416.555	421.246	0	1	461.549	11.135	11.2604	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.788	292.753	101244	1.1998	1011.58	0.0241253	-0.00144676	0.00831711	1123.67	2273.94	0.0069321	49.4151	1150.27	281.841	-0.783833	1.57242	0.107483	1.76024	-3.26019e-14	5.61875e-15	1.76024	3.39044	136.804	116.496	3.50074	NaN	0.0847019	0.142941	91.2099	0.0438549	0.594102	0.00570501	1	75.7734	33	68	137	251	525	2077	0.0085438	1.00749	-0.637326	1.01278	-0.906416	1.03985	-0.528128	1.03985	-0.0205001	1.03985	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100119	899999999	899999999	89999	89999	89	89	8	4	3	8	5	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	3507	18000	0	16	18000	18000	18000	18000	NaN	80	0.106822	0.172332	0.00672838	0.0967895	0.00285752	3.18317	NaN	NaN	-0.000525116	-0.000528128	-0.0205001	NaN	NaN	287.047	102155	24.4192	403.37	10.7825	8.33271	81.051	3.00424	1.643	0.000689374	0.000705604	0.00005775	0.0000754511	9999.99	9999.99	9999.99	141
DATA	2020-10-06T000000_smart3-00433.ghg	2020-10-06	00:30:00	280.0208	0	18000	18000	-0.00422189	0	NaN	-4.50731	1	NaN	0.708959	2	NaN	-0.236809	2	NaN	0.0160252	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.12926e-11	-1.11766e-12	NaN	NaN	17.3261	417.501	422.273	0	1	468.963	11.3004	11.4296	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.216	292.168	101168	1.20121	1011.65	0.0240966	0.00103843	0.00845072	1139.44	2192.69	0.00703515	51.9656	1053.24	282.047	-0.53447	1.93011	0.13935	2.00759	4.36532e-15	-2.38325e-15	2.00759	3.24697	149.05	105.478	3.98019	NaN	0.0592848	0.157163	4.06727	0.98346	-6.35764	0.0625636	1	235.133	104	236	534	1113	2820	NaN	-0.00412662	1.02309	-4.26933	1.04686	0.836005	1.15353	-0.0203906	1.15353	0.0188969	1.15353	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	11	12	3	7	7	8	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	6321	18000	0	41	18000	18000	18000	18000	NaN	80	0.0505927	0.254726	0.00900825	0.119796	0.00496148	40.1487	NaN	NaN	-0.00351324	-0.0000203906	0.0188969	NaN	NaN	286.53	102153	24.41	404.047	10.9362	8.54006	80.8709	2.9203	1.72624	0.000580931	0.000602798	0.0000497078	0.0000646511	9999.99	9999.99	9999.99	044
DATA	2020-10-06T003000_smart3-00433.ghg	2020-10-06	01:00:00	280.0416	0	18000	18000	-0.00868736	1	NaN	-15.8746	0	NaN	-0.99728	2	NaN	0.227632	0	NaN	-0.0225363	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.15585e-10	3.23108e-12	NaN	NaN	17.2737	415.879	420.77	0	0	482.869	11.6255	11.7623	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.965	291.887	101168	1.20222	1011.83	0.0240759	-0.00146035	0.0087013	1172.1	2154.51	0.00723768	54.4021	982.413	282.466	0.281225	2.27675	0.146728	2.29874	2.48265e-15	6.69141e-15	2.29874	3.59093	172.182	82.9585	3.65967	NaN	0.0850064	0.130977	3.40458	1.17489	15.9179	0.153518	1	178.995	79	177	395	810	2001	NaN	-0.00845569	1.0274	-15.0972	1.0555	-0.0254873	1.19198	0.84671	1.19198	-0.000575955	1.19198	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	12	4	0	8	9	13	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	5712	18000	0	36	18000	18000	18000	18000	NaN	80	0.207775	0.0373241	0.0168554	0.154942	0.00193129	1.00585	NaN	NaN	-0.0124109	0.00084671	-0.000575955	NaN	NaN	286.278	102158	24.41	402.449	11.2501	8.9604	80.678	3.19965	1.34085	0.000612764	0.000633249	0.0000540776	0.0000690209	9999.99	9999.99	9999.99	049
DATA	2020-10-06T010000_smart3-00433.ghg	2020-10-06	01:30:00	280.0624	0	18000	18000	-0.00293953	2	NaN	-9.69728	0	NaN	-1.36363	1	NaN	0.199235	0	NaN	-0.0308076	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.00818e-11	-1.67551e-12	NaN	NaN	17.3154	416.579	421.475	0	0	482.88	11.6172	11.7538	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.714	291.638	101156	1.20311	1011.82	0.0240582	-0.00199633	0.00870149	1171.13	2121.22	0.00723253	55.21	950.095	282.454	0.204852	2.2767	0.13672	2.28999	-3.47164e-14	-3.46984e-15	2.28999	3.61969	170.092	84.8585	3.42279	NaN	0.0494296	0.140468	1.09567	3.65073	7.11136	0.16116	1	590.571	260	577	1267	2552	6143	NaN	-0.00276868	1.06171	-8.71588	1.12104	-0.544884	1.40219	0.488519	1.40219	-0.0123102	1.40219	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	0	2	4	5	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	6010	18000	0	16	18000	18000	18000	18000	NaN	80	0.246746	0.0249571	0.00923395	0.196874	0.00206211	6.75528	NaN	NaN	-0.00715988	0.000488519	-0.0123102	NaN	NaN	285.974	102175	24.41	402.926	11.2365	8.94474	80.5849	3.06343	1.48413	0.000652709	0.000675362	0.0000594775	0.0000746081	9999.99	9999.99	9999.99	219
DATA	2020-10-06T013000_smart3-00433.ghg	2020-10-06	02:00:00	280.0833	0	18000	18000	-0.00143581	2	NaN	-6.12817	0	NaN	-1.99621	0	NaN	0.417856	0	NaN	-0.0450892	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.17366e-11	-1.44673e-12	NaN	NaN	17.339	416.829	421.745	0	0	484.857	11.6559	11.7934	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.491	291.413	101156	1.20402	1011.83	0.0240399	-0.00292178	0.00873712	1175.01	2091.44	0.00725663	56.1821	916.422	282.503	-0.0778795	2.09951	0.120157	2.10439	-2.30687e-14	-2.98382e-15	2.10439	2.89854	162.154	92.1244	3.27326	NaN	0.0345327	0.110618	0.591198	6.76592	3.0699	0.145666	1	1068.37	468	1028	2215	4374	NaN	NaN	-0.00131161	1.09469	-5.2701	1.18126	-1.02167	1.5685	0.469163	1.5685	-0.0230768	1.5685	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	11	2	1	4	5	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	7410	18000	0	21	18000	18000	18000	18000	NaN	80	0.180966	0.0365955	0.00367563	0.0762569	0.00161383	10.5339	NaN	NaN	-0.0043259	0.000469163	-0.0230768	NaN	NaN	285.582	102168	24.4174	402.949	11.2678	8.98487	80.4095	3.36113	1.18741	0.000580774	0.000600947	0.0000559312	0.0000681725	9999.99	9999.99	9999.99	048
DATA	2020-10-06T020000_smart3-00433.ghg	2020-10-06	02:30:00	280.1041	0	18000	18000	0.0383615	1	NaN	17.0116	2	NaN	5.06875	2	NaN	-1.22792	2	NaN	0.114459	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.72336e-10	-1.0356e-11	NaN	NaN	17.3963	417.468	422.373	0	1	483.854	11.6113	11.7477	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.207	291.134	101236	1.20615	1011.8	0.0239975	0.00741694	0.00871906	1171.46	2055.09	0.00722884	57.0029	883.628	282.458	0.3314	1.16471	0.0430415	1.2117	1.24998e-13	-2.14032e-14	1.2117	2.8085	196.609	74.1171	2.03566	NaN	0.178339	0.431712	-29.3498	-0.136287	3.35618	-0.0781633	1	18.2876	8	15	26	41	70	182	0.0378462	1.01362	17.0743	1.01418	3.87354	1.02856	-2.04994	1.02856	0.0874698	1.02856	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	811000019	899999999	899999999	89999	89999	89	89	0	0	0	3	3	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	4410	18000	0	41	18000	18000	18000	18000	NaN	80	0.610409	0.250083	0.00293313	0.251824	0.00440507	13.1818	NaN	NaN	0.013991	-0.00204994	0.0874698	NaN	NaN	285.367	102168	24.4208	403.972	11.2361	8.94298	80.3836	3.08561	1.47321	0.000633964	0.000655799	0.0000577674	0.0000725781	9999.99	9999.99	9999.99	009
DATA	2020-10-06T023000_smart3-00433.ghg	2020-10-06	03:00:00	280.1249	0	18000	18000	0.0348875	1	NaN	8.50362	2	NaN	2.06725	2	NaN	-1.32753	2	NaN	0.046654	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.14397e-11	3.09182e-13	NaN	NaN	17.5516	420.502	425.336	0	1	474.368	11.3649	11.4956	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	291.576	290.528	101184	1.20816	1011.65	0.023958	0.00302318	0.00854812	1146.1	1978.07	0.00707533	57.9405	831.967	282.133	0.970629	0.449544	0.0209649	1.06988	1.09973e-13	6.51776e-16	1.06988	3.62391	228.322	24.8511	1.12281	NaN	0.169931	0.810792	-50.7743	-0.0787801	4.11349	-0.0409426	1	16.7406	7	14	25	40	70	192	0.0343747	1.01492	8.50114	1.0149	1.49873	1.02785	-1.71951	1.02785	0.0338236	1.02785	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	2	0	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	5608	18000	0	21	18000	18000	18000	18000	NaN	80	0.250751	1.36034	0.0104965	1.00475	0.01334	219.82	NaN	NaN	0.0069554	-0.00171951	0.0338236	NaN	NaN	284.503	102175	24.43	406.316	10.9823	8.59921	80.1322	3.35891	1.19089	0.000598753	0.000619152	0.0000551381	0.0000689872	9999.99	9999.99	9999.99	045
DATA	2020-10-06T030000_smart3-00433.ghg	2020-10-06	03:30:00	280.1458	0	18000	18000	-0.0368354	1	NaN	-33.9081	1	NaN	-26.7277	1	NaN	1.10233	1	NaN	-0.602482	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.78733e-11	-2.42526e-12	NaN	NaN	17.6674	421.367	425.813	-0.1	0	437.792	10.4413	10.5515	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	290.261	289.302	101184	1.2137	1011.12	0.0238499	-0.0390409	0.00788902	1053.27	1830	0.00649999	57.5558	776.729	280.888	0.470433	-0.364247	0.0173893	0.595219	3.08255e-13	-5.53976e-15	0.595219	1.8615	292.05	322.25	1.67413	NaN	0.174212	0.468918	13.7175	0.291598	1.26865	0.158604	1	4.01035	2	4	8	14	30	126	-0.0363584	1.01312	-34.7284	1.02201	-23.6075	1.04181	2.92067	1.04181	-0.532148	1.04181	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800111019	899999999	899999999	89999	89999	89	89	3	0	0	2	1	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	802	18000	0	36	18000	18000	18000	18000	NaN	80	0.214929	0.716647	0.00625964	0.458233	0.00548077	224.582	NaN	NaN	-0.0282991	0.00292067	-0.532148	NaN	NaN	282.987	102183	24.43	406.789	10.0808	7.34056	80.0679	3.14839	1.45642	0.000424493	0.000450775	0.0000400275	0.0000500154	9999.99	9999.99	9999.99	053
DATA	2020-10-06T033000_smart3-00433.ghg	2020-10-06	04:00:00	280.1666	0	18000	18000	-0.0742396	1	NaN	13.5559	1	NaN	-0.275126	1	NaN	-2.71431	1	NaN	-0.0062034	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.81479e-11	2.13604e-12	NaN	NaN	17.6003	420.316	424.641	0	1	426.499	10.1853	10.2901	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	290.514	289.577	101140	1.21213	1010.98	0.0238812	-0.00040198	0.00768551	1027.08	1862.42	0.00634051	55.1475	835.344	280.52	-0.3837	-0.135277	0.061674	0.411496	-1.44566e-13	5.00832e-15	0.411496	1.52778	54.7677	199.421	8.61981	NaN	0.247482	0.394686	-98.3331	-0.0406781	-49.2714	-0.0446984	0	245.122	-37.1982	84.1424	209.526	319.541	448.161	671.427	-0.0719475	1.03186	13.2018	1.02558	-0.963362	1.03276	-3.27671	1.03276	-0.0217214	1.03276	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	811000019	899999999	899999999	89999	89999	89	89	2	1	4	4	2	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	6103	18000	0	31	18000	18000	18000	18000	NaN	80	0.0910615	0.69059	0.00772102	0.0761728	0.00506969	2.13937	NaN	NaN	0.0107731	-0.00327671	-0.0217214	NaN	NaN	282.777	102196	24.43	404.893	9.81158	6.95568	80.0596	3.29088	1.2485	0.000338351	0.000372611	0.0000327502	0.0000401056	9999.99	9999.99	9999.99	100
