DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	129
DATA	2020-11-09T233000_smart3-00433.ghg	2020-11-10	00:00:00	315	0	18000	18000	-0.0111137	1	NaN	14.3209	1	NaN	41.9517	2	NaN	-15.5659	1	NaN	0.946216	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.06822e-10	1.74854e-12	NaN	NaN	20.9856	500.793	504.932	0	1	343.505	8.19732	8.26507	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	290.673	289.919	101269	1.21316	1009.9	0.0238637	0.0613148	0.00618997	828.197	1903.46	0.00510237	43.5102	1075.26	277.412	0.16839	1.13172	0.0793022	1.14692	1.03113e-13	5.09028e-15	1.14692	2.24935	167.544	81.537	3.96479	NaN	0.0957132	0.185	-5.38762	-0.742443	0.341367	-0.122125	1	28.7426	13	23	37	56	89	200	-0.0109585	1.01417	16.5857	1.01448	39.8702	1.0282	-16.4216	1.0282	0.899268	1.0282	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	0	15	2	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	0	18000	0	16	18000	18000	18000	18000	NaN	22	0.178918	0.190368	0.000713648	0.710013	1.24707	2766.67	NaN	NaN	0.0135375	-0.0164216	0.899268	NaN	NaN	283.868	102407	24.43	483.564	7.91946	3.74347	19.8755	6.28573	0.299249	0.000528602	0.00053874	0.0000490638	0.0000586736	9999.99	9999.99	9999.99	096
DATA	2020-11-10T000000_smart3-00433.ghg	2020-11-10	00:30:00	315.0208	0	18000	18000	0.0233931	1	NaN	-8.28175	1	NaN	18.0943	1	NaN	-4.38068	2	NaN	0.407244	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.70779e-11	2.76157e-13	NaN	NaN	22.2812	527.34	530.192	0	1	227.237	5.37812	5.4072	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.188	287.697	101236	1.22342	1008.31	0.0236675	0.0263894	0.00409481	543.675	1651.08	0.00334702	32.9284	1107.41	271.553	0.576827	0.795984	0.0216741	0.983255	-2.77154e-14	1.21528e-15	0.983255	2.1076	209.481	54.0702	1.26308	NaN	0.138279	0.160647	28.0722	0.14249	-0.457699	0.0485506	1	16.5134	7	15	32	60	131	577	0.023172	1.00954	-7.11083	1.01535	17.6004	1.03593	-3.93384	1.03593	0.396128	1.03593	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	801000119	899999999	899999999	89999	89999	89	89	0	0	3	6	4	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	0	18000	0	41	18000	18000	18000	18000	NaN	28	0.184229	0.134277	0.00278715	0.106457	0.321173	951.192	NaN	NaN	-0.00576434	-0.00393384	0.396128	NaN	NaN	281.421	102393	24.43	509.142	5.19284	-2.07028	25.7381	5.30032	0.346606	0.000373191	0.000405709	0.0000359007	0.000042733	9999.99	9999.99	9999.99	170
DATA	2020-11-10T003000_smart3-00433.ghg	2020-11-10	01:00:00	315.0416	0	18000	18000	0.000312455	2	NaN	-0.748637	2	NaN	-4.08121	1	NaN	-1.96476	2	NaN	-0.0918635	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.1962e-11	5.71551e-13	NaN	NaN	23.5427	557.78	562.05	0	1	320.667	7.59734	7.6555	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.49	287.796	101236	1.22198	1009.52	0.0236923	-0.00595275	0.00577843	767.474	1661.59	0.00472875	46.189	894.12	276.331	-0.0849965	1.62952	0.0880889	1.63411	-3.51186e-14	1.78238e-15	1.63411	2.16738	161.643	92.9859	3.0901	NaN	0.0159905	0.0412112	0.480397	8.32644	0.183435	0.0379516	1	2832.72	1245	2778	6119	NaN	NaN	NaN	0.000278852	1.1205	-0.759229	1.22919	-2.4624	1.63265	-1.14169	1.63265	-0.0554258	1.63265	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	6	0	1	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	5105	18000	0	36	18000	18000	18000	18000	NaN	17	0.045808	0.035248	0.00136639	0.438913	0.594132	1812.51	NaN	NaN	-0.000615451	-0.00114169	-0.0554258	NaN	NaN	281.876	102400	24.4382	538.78	7.33778	2.70201	15.2786	6.79202	0.274433	0.000343577	0.00035355	0.0000382825	0.0000426501	9999.99	9999.99	9999.99	041
DATA	2020-11-10T010000_smart3-00433.ghg	2020-11-10	01:30:00	315.0624	0	18000	18000	-0.00119743	1	NaN	-2.05044	1	NaN	-2.9469	0	NaN	0.341133	2	NaN	-0.0663559	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.56544e-11	2.13797e-13	NaN	NaN	23.7923	564.748	569.138	0	0	324.939	7.71295	7.7729	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.886	288.18	101185	1.21968	1009.59	0.0237366	-0.00429986	0.00585539	778.734	1703.25	0.00480074	45.7205	924.514	276.537	0.563156	1.62938	0.0912559	1.72637	-3.00267e-14	6.5796e-16	1.72637	2.3294	184.276	70.9335	3.03007	NaN	0.031333	0.0362205	1.31917	3.03222	0.695795	0.0531436	1	749.338	330	746	1672	3446	8588	NaN	-0.00113806	1.05216	-1.9942	1.10365	-2.17786	1.30442	0.395577	1.30442	-0.0490393	1.30442	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	2	1	1	2	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	303	18000	0	16	18000	18000	18000	18000	NaN	13	0.0482293	0.0204462	0.00376541	0.0450564	0.11612	123.48	NaN	NaN	-0.00161948	0.000395577	-0.0490393	NaN	NaN	282.254	102383	24.45	545.329	7.44788	3.02041	11.0207	6.60899	0.277831	0.000311952	0.0003182	0.0000351365	0.000038425	9999.99	9999.99	9999.99	171
DATA	2020-11-10T013000_smart3-00433.ghg	2020-11-10	02:00:00	315.0833	0	18000	18000	-0.0012663	1	NaN	-3.40808	0	NaN	-2.43322	1	NaN	2.20362	1	NaN	-0.0547842	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.81539e-11	-8.04619e-13	NaN	NaN	24.2311	574.804	578.731	0	0	286.07	6.78609	6.83245	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.705	288.084	101185	1.22052	1009.09	0.0237218	-0.00355002	0.00515498	685.356	1692.81	0.00422361	40.4862	1007.46	274.742	0.52951	1.57355	0.0871564	1.66254	-1.00624e-14	-2.81267e-15	1.66254	2.54078	183.689	71.4015	3.00504	NaN	0.0322105	0.0261259	0.862097	4.63985	1.40065	0.0859095	1	748.821	329	728	1587	3173	7558	NaN	-0.00118472	1.06886	-3.1084	1.13532	-1.65631	1.38543	1.78126	1.38543	-0.037292	1.38543	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	8	8	1	9	3	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	0	18000	0	16	18000	18000	18000	18000	NaN	13	0.0360791	0.0127939	0.00337885	0.0280133	0.0420613	58.6915	NaN	NaN	-0.00252386	0.00178126	-0.037292	NaN	NaN	281.887	102376	24.45	554.7	6.54874	1.22002	11.2106	6.45247	0.282498	0.000291266	0.000297454	0.0000336996	0.0000364572	9999.99	9999.99	9999.99	035
DATA	2020-11-10T020000_smart3-00433.ghg	2020-11-10	02:30:00	315.1041	0	18000	18000	-0.00622113	0	NaN	-7.97947	0	NaN	-2.54045	2	NaN	0.709397	2	NaN	-0.0572255	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.55385e-11	1.13145e-12	NaN	NaN	24.4112	580.172	584.659	0	0	322.897	7.67417	7.73352	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.278	288.575	101195	1.21815	1009.58	0.0237666	-0.00370821	0.00581861	774.904	1747.07	0.0047766	44.3545	972.165	276.467	0.579793	1.97321	0.127635	2.06059	-1.11138e-14	3.50406e-15	2.06059	2.96726	181.546	73.6255	3.55124	NaN	0.0714635	0.0510835	4.02209	0.994508	3.14097	0.090792	1	187.013	82	187	419	865	2160	NaN	-0.00607615	1.02386	-7.74433	1.04843	-1.89481	1.16038	1.1129	1.16038	-0.0426821	1.16038	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	14	3	2	4	6	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	6214	18000	0	36	18000	18000	18000	18000	NaN	13	0.0648651	0.0255322	0.0117698	0.113673	0.0338965	293.256	NaN	NaN	-0.00629711	0.0011129	-0.0426821	NaN	NaN	282.37	102373	24.4508	559.797	7.405	2.92753	11.4873	6.96434	0.267392	0.000265402	0.000272068	0.0000306112	0.0000333145	9999.99	9999.99	9999.99	030
DATA	2020-11-10T023000_smart3-00433.ghg	2020-11-10	03:00:00	315.1249	0	18000	18000	-0.0151973	0	NaN	-11.6567	0	NaN	-7.4328	0	NaN	1.11454	0	NaN	-0.167544	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.48057e-11	9.75626e-13	NaN	NaN	23.8209	567.343	572.231	0	0	358.615	8.54114	8.61472	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	290.069	289.284	101257	1.21551	1010.07	0.023817	-0.0108568	0.00646225	862.734	1828.1	0.00531649	47.193	965.365	277.996	0.658741	2.10072	0.157339	2.20719	-1.15813e-14	2.72054e-15	2.20719	3.14467	182.436	72.5897	4.08776	NaN	0.111816	0.0673062	10.5528	0.379045	1.56828	0.0849102	1	82.2157	36	81	177	359	868	4769	-0.014992	1.01369	-11.7523	1.02778	-6.24206	1.09697	1.81515	1.09697	-0.140703	1.09697	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	7	2	1	4	4	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	6324	18000	0	31	18000	18000	18000	18000	NaN	13	0.0660879	0.0458734	0.0226509	0.0531856	0.00444885	35.88	NaN	NaN	-0.00957219	0.00181515	-0.140703	NaN	NaN	283.158	102375	24.46	547.777	8.24661	4.4719	12.5186	6.84842	0.271105	0.000316181	0.000325902	0.0000355379	0.0000393116	9999.99	9999.99	9999.99	195
DATA	2020-11-10T030000_smart3-00433.ghg	2020-11-10	03:30:00	315.1458	0	18000	18000	-0.00824558	0	NaN	-8.60392	0	NaN	-7.69544	0	NaN	0.619089	0	NaN	-0.173361	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.42835e-13	8.6084e-15	NaN	NaN	23.7065	563.237	567.517	0	0	317.46	7.54247	7.5998	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.36	288.669	101257	1.21856	1009.51	0.0237588	-0.0112338	0.00572064	762.102	1757.56	0.00469459	43.3615	995.455	276.231	0.694438	1.82305	0.122466	1.95468	2.0759e-14	2.71164e-17	1.95468	2.6555	185.84	69.1472	3.59209	NaN	0.0822597	0.0394129	5.6914	0.702815	1.11805	0.0850258	1	125.988	56	125	279	572	1417	8195	-0.0080907	1.01914	-8.69436	1.03888	-6.4754	1.12674	1.1457	1.12674	-0.145876	1.12674	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	1	0	4	4	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	0	18000	0	16	18000	18000	18000	18000	NaN	13	0.0359687	0.0303013	0.0125557	0.0566037	0.0018564	259.631	NaN	NaN	-0.00706771	0.0011457	-0.145876	NaN	NaN	282.711	102376	24.4559	544.277	7.2888	2.70664	13.8563	6.1949	0.29821	0.00029989	0.000307583	0.0000339562	0.0000373144	9999.99	9999.99	9999.99	032
DATA	2020-11-10T033000_smart3-00433.ghg	2020-11-10	04:00:00	315.1666	0	18000	18000	-0.00470102	0	NaN	-4.82194	0	NaN	-4.11637	0	NaN	0.146146	0	NaN	-0.0926898	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.89624e-12	1.14687e-13	NaN	NaN	23.7893	564.037	567.748	0	0	275.694	6.5366	6.57961	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.786	288.188	101265	1.22116	1008.95	0.0237096	-0.0060063	0.004968	660.736	1704.17	0.00406827	38.7718	1043.43	274.232	0.671331	1.73658	0.117335	1.86552	-1.36901e-14	4.15995e-16	1.86552	2.79908	186.177	68.8643	3.60609	NaN	0.0620455	0.033944	4.35725	0.918011	1.17141	0.0630767	1	193.375	85	193	435	903	2268	NaN	-0.00459778	1.02246	-4.82865	1.04555	-3.42873	1.14423	0.455669	1.14423	-0.0772058	1.14423	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000119	899999999	899999999	89999	89999	89	89	4	6	0	0	5	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	0	0	0	101	0	0	18000	0	31	18000	18000	18000	18000	NaN	17	0.0382677	0.0228527	0.00676759	0.0437107	0.00605081	113.925	NaN	NaN	-0.00391906	0.000455669	-0.0772058	NaN	NaN	282.03	102374	24.45	544.877	6.3147	0.709702	14.4342	5.61193	0.323533	0.000305155	0.000313858	0.000034374	0.0000382652	9999.99	9999.99	9999.99	016
