DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	045
DATA	2021-05-20T233000_smart3-00433.ghg	2021-05-21	00:00:00	141	0	18000	18000	-0.0287458	0	NaN	-21.7016	0	NaN	6.48403	0	NaN	4.21693	0	NaN	0.147114	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.98598e-11	-1.92456e-12	NaN	NaN	17.3772	424.713	431.792	0.1	0	670.747	16.3936	16.6669	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.58	296.039	101227	1.18395	1014.56	0.0244409	0.00953298	0.0120869	1651.28	2780.9	0.010209	59.3794	1129.62	287.663	-1.73679	-0.903557	0.046068	1.95831	-1.67165e-14	-2.86927e-15	1.95831	3.45382	47.5766	207.485	1.34797	NaN	0.155819	0.139294	15.3591	0.260432	-3.34693	0.115947	1	40.5494	18	39	83	164	381	1907	-0.0284364	1.01088	-20.8837	1.02156	7.44487	1.09907	4.74514	1.09907	0.168914	1.09907	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	10	9	2	21	13	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.122045	0.116366	0.0401777	0.0930435	0.0102235	5.25587	NaN	NaN	-0.0173859	0.00474514	0.168914	NaN	NaN	290.758	101829	24.46	412.525	15.9232	14.164	73.9044	1135.4	0.0580011	0.000621311	0.000603278	0.000048782	0.0000621132	9999.99	9999.99	9999.99	101782	0	292.006	157
DATA	2021-05-21T000000_smart3-00433.ghg	2021-05-21	00:30:00	141.0208	0	18000	18000	-0.0188966	0	NaN	-16.8915	0	NaN	0.789307	2	NaN	4.06413	0	NaN	0.0179017	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.98508e-11	2.31962e-12	NaN	NaN	17.4904	426.949	434.133	0.1	0	677.869	16.5471	16.8255	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.21	295.656	101227	1.18541	1014.64	0.0244105	0.00116003	0.0122152	1666.66	2717.15	0.0103046	61.3387	1050.49	287.806	-1.5124	-0.902614	0.0312462	1.76155	2.52401e-14	3.42192e-15	1.76155	3.91433	45.0147	210.829	1.01636	NaN	0.126258	0.149555	10.498	0.381026	-21.4004	0.111232	1	49.7794	22	48	105	209	495	2591	-0.0186572	1.01283	-16.4322	1.02561	1.96952	1.115	4.38324	1.115	0.0446691	1.115	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	3	0	11	11	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	4801	4801	0	36	18000	18000	18000	18000	NaN	73	0.164281	0.103574	0.0312549	0.129242	0.0202032	13.6806	NaN	NaN	-0.0136621	0.00438324	0.0446691	NaN	NaN	290.359	101815	24.4418	414.698	16.0724	14.3058	73.6061	1092.32	0.0597673	0.000643024	0.000625706	0.0000515407	0.0000655432	9999.99	9999.99	9999.99	101770	0	291.61	147
DATA	2021-05-21T003000_smart3-00433.ghg	2021-05-21	01:00:00	141.0416	0	18000	18000	-0.00484602	1	NaN	-5.8593	1	NaN	-1.39605	1	NaN	2.28701	1	NaN	-0.0316524	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.61503e-11	-1.01335e-12	NaN	NaN	17.522	427.308	434.502	0.1	0	678.994	16.5586	16.8374	0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.873	295.32	101210	1.18655	1014.64	0.024387	-0.00205107	0.0122355	1667.53	2662.09	0.0103118	62.6397	994.565	287.814	-1.18405	-0.549116	0.0124035	1.30524	-6.09073e-14	-1.49243e-15	1.30524	2.20064	51.375	204.88	0.54448	NaN	0.0639071	0.0599253	3.92415	1.01933	4.19706	0.076155	1	110.387	49	108	238	482	1167	6428	-0.00474105	1.02214	-5.68558	1.0446	-0.741749	1.18573	2.18365	1.18573	-0.0168176	1.18573	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800101119	899999999	899999999	89999	89999	89	89	7	2	9	3	2	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.048676	0.0675322	0.00364232	0.0735939	0.0318805	6.47202	NaN	NaN	-0.00472255	0.00218365	-0.0168176	NaN	NaN	289.994	101765	24.4425	415.129	16.0867	14.3121	73.3113	1201.12	0.0545677	0.000587023	0.000576866	0.0000486753	0.000060921	9999.99	9999.99	9999.99	101726	0	291.257	249
DATA	2021-05-21T010000_smart3-00433.ghg	2021-05-21	01:30:00	141.0624	0	18000	18000	-0.0144106	1	NaN	-17.4039	1	NaN	-9.13151	1	NaN	11.2126	1	NaN	-0.206808	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.15296e-11	7.66824e-13	NaN	NaN	18.598	451.438	458.815	0.2	0	662.411	16.079	16.3417	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.678	294.176	101274	1.19213	1014.35	0.0242734	-0.0134012	0.0119367	1620.5	2482.3	0.0100128	65.2824	861.793	287.372	-1.06223	-0.275261	0.0201415	1.0975	-4.71202e-15	1.15763e-15	1.0975	2.21059	61.1262	194.528	1.05156	NaN	0.109946	0.160696	6.72944	0.594403	1.90592	0.130906	1	30.3418	13	29	62	122	281	1391	-0.0141839	1.01598	-17.3796	1.03148	-6.69553	1.12828	10.8265	1.12828	-0.151639	1.12828	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	1	1	0	1	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.0963404	0.217566	0.0074862	0.346587	0.708928	95.8496	NaN	NaN	-0.0143723	0.0108265	-0.151639	NaN	NaN	289.162	101725	24.45	439.52	15.6552	13.8849	72.9337	1090.64	0.057856	0.000508943	0.000500588	0.0000443578	0.0000541232	9999.99	9999.99	9999.99	101682	0	290.756	233
DATA	2021-05-21T013000_smart3-00433.ghg	2021-05-21	02:00:00	141.0833	0	18000	18000	-0.00252896	1	NaN	-1.30685	0	NaN	-0.449602	1	NaN	-0.134872	2	NaN	-0.0101839	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.70526e-12	3.50945e-13	NaN	NaN	17.9729	436.436	443.434	0	1	649.904	15.7816	16.0347	-0.3	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.795	294.32	101274	1.19168	1014.18	0.024283	-0.000659916	0.0117113	1590.68	2504.33	0.00982749	63.5172	913.65	287.086	-0.987484	-0.461449	0.0130778	1.09006	-9.64768e-15	5.39995e-16	1.09006	1.66449	49.782	205.047	0.687413	NaN	0.046067	0.0413085	6.59201	0.606795	2.90667	0.0234723	1	119.866	53	119	265	544	1347	7783	-0.00248895	1.01607	-1.29186	1.03167	-0.298642	1.12887	-0.0570638	1.12887	-0.00676451	1.12887	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800100019	800100019	899999999	899999999	89999	89999	89	89	7	13	8	11	6	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.0291631	0.0500111	0.00344286	0.0878694	0.0420332	19.2532	NaN	NaN	-0.0010689	-0.0000570638	-0.00676451	NaN	NaN	289.175	101687	24.45	424.935	15.3657	13.5936	73.2131	981.188	0.0658651	0.000480555	0.000472557	0.0000385465	0.000048265	9999.99	9999.99	9999.99	101649	0	290.343	141
DATA	2021-05-21T020000_smart3-00433.ghg	2021-05-21	02:30:00	141.1041	0	18000	18000	-0.0141427	1	NaN	-9.17124	1	NaN	-4.54248	1	NaN	1.59524	2	NaN	-0.102852	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.59699e-11	-1.24721e-12	NaN	NaN	18.331	444.564	451.524	0.2	0	635.604	15.4147	15.656	0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.368	293.929	101257	1.19323	1013.97	0.0242521	-0.00666484	0.0114536	1553.62	2444.95	0.00959882	63.544	891.331	286.723	-0.810717	0.117445	0.0262395	0.8196	6.3398e-14	-1.96225e-15	0.8196	1.60208	85.5745	171.757	1.83464	NaN	0.108869	0.131818	12.3957	0.322693	2.019	0.0696266	1	18.0709	8	17	36	70	158	746	-0.0139689	1.01244	-9.23013	1.02243	-3.44847	1.0871	1.94415	1.0871	-0.0780815	1.0871	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000119	899999999	899999999	89999	89999	89	89	2	0	1	2	2	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	73	0.0610443	0.199935	0.00265676	0.240233	0.447451	48.9066	NaN	NaN	-0.00762884	0.00194415	-0.0780815	NaN	NaN	288.966	101680	24.45	433.111	15.018	13.2406	73.4685	1067.24	0.0592304	0.000492138	0.000480346	0.0000398008	0.000050345	9999.99	9999.99	9999.99	101637	0	290.437	111
DATA	2021-05-21T023000_smart3-00433.ghg	2021-05-21	03:00:00	141.1249	0	18000	18000	-0.00343794	1	NaN	-9.29473	1	NaN	-3.29816	1	NaN	9.70674	0	NaN	-0.0745833	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.15768e-11	2.69047e-12	NaN	NaN	18.9376	457.172	464.171	0	0	624.577	15.0779	15.3087	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.014	292.613	101257	1.19874	1013.75	0.024141	-0.004833	0.0112549	1519.83	2253.92	0.00938889	67.4307	734.087	286.385	-0.335402	0.989704	0.0646534	1.04699	-7.71822e-14	4.30766e-15	1.04699	1.93623	147.909	108.721	3.54036	NaN	0.0535533	0.0737646	1.45569	2.74783	2.81815	0.142821	1	112.79	49	106	224	433	977	4592	-0.00329443	1.04356	-8.70719	1.08725	-1.88364	1.3414	7.63058	1.3414	-0.0425959	1.3414	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	0	2	0	0	0	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.0822434	0.060806	0.0044797	0.368643	0.271773	54.8487	NaN	NaN	-0.00716505	0.00763058	-0.0425959	NaN	NaN	287.988	101672	24.4409	445.962	14.7088	12.9207	72.6823	1056.81	0.0565812	0.000433387	0.000424519	0.0000339432	0.0000433719	9999.99	9999.99	9999.99	101635	0	289.711	216
DATA	2021-05-21T030000_smart3-00433.ghg	2021-05-21	03:30:00	141.1458	0	18000	18000	0.00214834	1	NaN	-2.67122	2	NaN	-2.72738	2	NaN	7.51028	1	NaN	-0.0615956	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.85551e-11	-1.06633e-12	NaN	NaN	21.5378	517.632	525.15	-0.2	0	595.678	14.3163	14.5242	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.59	291.266	101216	1.20415	1013.3	0.0240336	-0.0039914	0.0107341	1442.84	2071.91	0.00891428	69.6382	629.067	285.591	0.313048	0.577926	0.0295022	0.657927	-1.09125e-14	-1.79011e-15	0.657927	1.42259	195.71	61.5567	2.57007	NaN	0.0422388	0.0566418	2.48415	1.61021	0.979409	0.0518298	1	72.6666	32	69	148	288	662	3242	0.00208487	1.03044	-2.65591	1.06064	-2.03679	1.22263	6.30107	1.22263	-0.0459993	1.22263	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	5	5	2	6	9	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.0878139	0.0225406	0.00292917	0.126942	0.678369	142.847	NaN	NaN	-0.00217668	0.00630107	-0.0459993	NaN	NaN	286.864	101664	24.4425	505.254	13.9746	12.1375	71.9461	921.187	0.0611264	0.000397307	0.000394183	0.0000335024	0.000039953	9999.99	9999.99	9999.99	101626	0	288.33	243
DATA	2021-05-21T033000_smart3-00433.ghg	2021-05-21	04:00:00	141.1666	0	18000	18000	-0.00379991	1	NaN	-0.46094	2	NaN	1.76594	1	NaN	3.95699	0	NaN	0.039872	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.00358e-11	1.90811e-12	NaN	NaN	21.3943	513.828	521.123	0	0	582.883	13.9991	14.1979	-0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.291	290.997	101183	1.205	1013.12	0.024017	0.00258371	0.0105035	1410.55	2037.3	0.00871661	69.2361	626.754	285.247	0.15665	0.832242	0.0543495	0.848599	-1.38041e-14	3.27357e-15	0.848599	1.86945	177.497	79.3401	3.67209	NaN	0.0561555	0.0748705	33.8189	0.118277	-0.261016	0.0067236	1	49.9331	22	47	98	186	414	1885	-0.00376288	1.00984	-0.352532	1.01439	1.68332	1.05436	3.75997	1.05436	0.0380067	1.05436	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	3	2	1	2	8	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	70	0.0735484	0.0714157	0.00477707	0.0296197	0.177452	12.2708	NaN	NaN	-0.000288768	0.00375997	0.0380067	NaN	NaN	286.38	101663	24.45	501.053	13.6511	11.7849	70.468	866.461	0.0648612	0.000394112	0.000400203	0.0000361676	0.0000434134	9999.99	9999.99	9999.99	101626	0	287.453	019
