DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	129
DATA	2020-12-11T233000_smart3-00433.ghg	2020-12-12	00:00:00	347	0	18000	18000	-0.173173	0	NaN	-19.4175	0	NaN	-0.207664	2	NaN	1.70637	0	NaN	-0.00471286	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.16528e-11	1.29503e-12	NaN	NaN	16.6713	408.448	415.389	0.1	0	682.082	16.711	16.995	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.886	296.313	101087	1.18107	1014.75	0.0245	-0.000305394	0.0122911	1680.74	2827.4	0.0104068	59.445	1146.65	287.937	-4.41613	-0.442369	0.288295	4.44759	2.02862e-14	1.89864e-15	4.44759	8.12955	69.2261	185.72	3.71654	NaN	0.382916	0.762595	254.509	0.0157165	93.5046	0.0423115	0	88.8701	-13.4864	30.5062	75.9648	115.851	162.483	243.429	-0.171831	1.00781	-19.121	1.01641	1.34049	1.07357	2.4403	1.07357	0.0304221	1.07357	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	14	4	4	14	50	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	80	0.832564	0.459088	0.233539	0.00891497	0.000386538	2.79187	NaN	NaN	-0.0159544	0.0024403	0.0304221	NaN	NaN	289.108	101949	24.42	393.06	16.0814	14.3349	77.6781	202.066	0.326172	0.00063131	0.000619806	0.0000527024	0.0000660697	9999.99	9999.99	9999.99	109
DATA	2020-12-12T000000_smart3-00433.ghg	2020-12-12	00:30:00	347.0208	0	18000	18000	-0.154356	0	NaN	-24.3537	0	NaN	-10.3006	0	NaN	1.89171	0	NaN	-0.233718	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.98813e-11	-1.61469e-12	NaN	NaN	16.6973	408.757	415.635	0.1	0	676.029	16.5495	16.828	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.648	296.091	101087	1.18202	1014.65	0.0244804	-0.0151449	0.012182	1664.58	2789.77	0.0103061	59.6675	1125.18	287.787	-4.41549	-0.215012	0.243083	4.4274	-8.52788e-16	-2.38849e-15	4.4274	8.29511	72.2066	182.788	3.14737	NaN	0.361368	0.791397	170.552	0.0234533	2.36431	0.0561918	0	88.51	-13.4317	30.3826	75.657	115.382	161.824	242.443	-0.153123	1.00805	-24.5503	1.01694	-7.51707	1.07591	2.91091	1.07591	-0.170561	1.07591	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	12	13	3	3	11	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	6	18000	18000	18000	18000	NaN	78	0.874733	0.497944	0.210116	0.021533	0.00059178	7.50225	NaN	NaN	-0.0204699	0.00291091	-0.170561	NaN	NaN	288.769	101930	24.42	393.283	15.923	14.1791	77.0034	208.894	0.314555	0.000609276	0.000604567	0.0000520324	0.0000638528	9999.99	9999.99	9999.99	169
DATA	2020-12-12T003000_smart3-00433.ghg	2020-12-12	01:00:00	347.0416	0	18000	18000	-0.125929	0	NaN	-22.5103	0	NaN	-10.0739	0	NaN	1.70408	0	NaN	-0.22853	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.46178e-11	-9.87952e-13	NaN	NaN	16.7254	408.506	415.315	0.1	0	671.218	16.394	16.6673	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.433	295.892	101246	1.18475	1014.56	0.0244243	-0.0148087	0.0120954	1651.63	2756.3	0.0102092	59.9219	1104.67	287.666	-4.19323	-0.198312	0.237495	4.20463	-4.49692e-15	-1.47188e-15	4.20463	7.35933	72.1741	182.708	3.23803	NaN	0.326024	0.612318	135.648	0.0294881	2.23452	0.0574418	0	86.1918	-13.0799	29.5868	73.6754	112.36	157.586	236.093	-0.124923	1.00805	-22.7272	1.01681	-7.48072	1.07435	2.65793	1.07435	-0.169703	1.07435	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	19	5	1	5	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	26	18000	18000	18000	18000	NaN	73	0.60436	0.437518	0.182758	0.0194171	0.000534336	2.73804	NaN	NaN	-0.0189078	0.00265793	-0.169703	NaN	NaN	288.544	101913	24.42	393.702	15.7999	14.0571	76.4001	215.089	0.3052	0.000551638	0.000545553	0.0000463779	0.0000574921	9999.99	9999.99	9999.99	045
DATA	2020-12-12T010000_smart3-00433.ghg	2020-12-12	01:30:00	347.0624	0	18000	18000	-0.103452	0	NaN	-22.5752	0	NaN	-11.9742	0	NaN	2.09838	0	NaN	-0.271593	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.40738e-12	1.75849e-13	NaN	NaN	16.7335	408.442	415.209	0.1	0	667.646	16.2963	16.5663	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.242	295.712	101246	1.18551	1014.5	0.0244087	-0.0175992	0.012031	1641.83	2726.34	0.0101483	60.2211	1084.51	287.574	-3.72616	-0.300975	0.196287	3.74345	4.83566e-14	2.63387e-16	3.74345	6.4268	70.3648	184.618	3.00567	NaN	0.295404	0.516319	100.613	0.0397564	1.88532	0.0635414	0	86.7011	-13.1572	29.7617	74.1108	113.024	158.517	237.488	-0.102635	1.00796	-22.9134	1.01633	-9.26344	1.06997	3.05702	1.06997	-0.210108	1.06997	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	15	2	0	5	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	26	18000	18000	18000	18000	NaN	73	0.491129	0.393662	0.147847	0.0185603	0.000686155	2.61627	NaN	NaN	-0.0190515	0.00305702	-0.210108	NaN	NaN	288.397	101886	24.42	393.799	15.7121	13.9668	75.7995	220.829	0.301192	0.000513216	0.000506197	0.0000384532	0.0000498183	9999.99	9999.99	9999.99	079
DATA	2020-12-12T013000_smart3-00433.ghg	2020-12-12	02:00:00	347.0833	0	18000	18000	-0.112513	0	NaN	-22.5317	0	NaN	-10.5893	0	NaN	2.08782	0	NaN	-0.240157	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.97702e-11	2.78125e-12	NaN	NaN	16.7316	408.275	415.03	0.1	0	666.973	16.2751	16.5443	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.135	295.608	101239	1.18587	1014.49	0.0244014	-0.0155622	0.0120189	1639.6	2709.16	0.0101351	60.5208	1069.55	287.553	-3.54617	-0.0150815	0.189689	3.55127	6.32656e-14	4.16996e-15	3.55127	6.43092	74.882	180.244	3.06188	NaN	0.308023	0.5459	114.28	0.0350016	2.12777	0.0608034	0	92.312	-14.0087	31.6877	78.9069	120.338	168.776	252.857	-0.111656	1.00768	-22.8089	1.01556	-8.02821	1.06557	3.04575	1.06557	-0.182073	1.06557	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	15	2	0	1	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	73	0.638755	0.315621	0.137424	0.0215266	0.000784824	2.54959	NaN	NaN	-0.0189592	0.00304575	-0.182073	NaN	NaN	288.378	101893	24.4192	393.7	15.6941	13.9502	75.716	218.368	0.301168	0.000509639	0.000502324	0.0000385435	0.0000495115	9999.99	9999.99	9999.99	124
DATA	2020-12-12T020000_smart3-00433.ghg	2020-12-12	02:30:00	347.1041	0	18000	18000	-0.0705433	0	NaN	-17.1461	0	NaN	-6.66522	0	NaN	1.44421	0	NaN	-0.151143	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.29859e-11	1.31023e-12	NaN	NaN	16.7687	409.142	415.901	0.1	0	666.065	16.2515	16.5199	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.007	295.482	101205	1.18598	1014.47	0.0243992	-0.00979409	0.0120025	1636.68	2688.62	0.0101203	60.8743	1051.94	287.525	-3.28144	-0.215563	0.182939	3.29359	1.8446e-14	1.96712e-15	3.29359	5.91488	70.9151	183.758	3.18406	NaN	0.243888	0.434004	74.5265	0.0536722	2.57248	0.0584333	0	79.8318	-12.1148	27.4037	68.239	104.069	145.958	218.672	-0.0699868	1.00795	-17.2678	1.01602	-4.82283	1.06593	2.17134	1.06593	-0.109364	1.06593	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	16	3	0	3	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	73	0.424535	0.319599	0.123875	0.0177566	0.000698422	3.90635	NaN	NaN	-0.0143522	0.00217134	-0.109364	NaN	NaN	288.403	101901	24.41	394.577	15.6729	13.9306	76.1758	212.605	0.306243	0.000622695	0.000617003	0.0000534988	0.0000652202	9999.99	9999.99	9999.99	086
DATA	2020-12-12T023000_smart3-00433.ghg	2020-12-12	03:00:00	347.1249	0	18000	18000	-0.0731736	0	NaN	-18.2196	0	NaN	-9.93846	0	NaN	1.85532	0	NaN	-0.225323	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.65484e-11	-1.82349e-12	NaN	NaN	16.7961	409.496	416.172	0.1	0	657.971	16.0416	16.3031	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.778	295.274	101205	1.18691	1014.35	0.0243804	-0.014601	0.0118566	1615.65	2654.8	0.00998953	60.8577	1039.15	287.326	-3.10066	-0.158561	0.171498	3.10944	1.64383e-15	-2.77138e-15	3.10944	5.15084	71.9923	182.927	3.16169	NaN	0.248296	0.324004	74.0045	0.0540508	1.83324	0.0609488	0	88.0718	-13.3652	30.2322	75.2825	114.811	161.023	241.242	-0.0726045	1.00784	-18.523	1.01562	-7.80093	1.063	2.64154	1.063	-0.176862	1.063	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	15	0	0	6	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	73	0.367756	0.179817	0.100436	0.0233829	0.000761343	11.4232	NaN	NaN	-0.0153854	0.00264154	-0.176862	NaN	NaN	288.135	101901	24.4182	394.854	15.468	13.7281	75.2308	216.922	0.304529	0.000597492	0.000592104	0.0000502016	0.0000623624	9999.99	9999.99	9999.99	060
DATA	2020-12-12T030000_smart3-00433.ghg	2020-12-12	03:30:00	347.1458	0	18000	18000	-0.0830347	0	NaN	-21.8116	0	NaN	-13.8361	0	NaN	2.16532	0	NaN	-0.313634	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.02231e-11	-1.56729e-12	NaN	NaN	16.7873	409.027	415.651	0.1	0	654.113	15.9377	16.1958	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.58	295.086	101200	1.18765	1014.29	0.0243653	-0.0203235	0.0117871	1605.16	2624.62	0.00992475	61.1577	1019.46	287.225	-3.41225	0.0490713	0.183333	3.41753	2.54584e-14	-2.39605e-15	3.41753	6.10546	75.6556	179.176	3.0751	NaN	0.264415	0.407175	74.6508	0.0535828	1.57642	0.0684781	0	86.1369	-13.0716	29.568	73.6285	112.288	157.486	235.942	-0.0823701	1.00807	-22.2679	1.01637	-11.0896	1.06821	3.11087	1.06821	-0.251377	1.06821	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	9	3	2	4	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	73	0.430446	0.263501	0.120404	0.0200804	0.00108815	7.5374	NaN	NaN	-0.0184855	0.00311087	-0.251377	NaN	NaN	288.058	101887	24.43	394.594	15.3753	13.6335	74.861	221.596	0.299195	0.000495993	0.000497366	0.0000410117	0.0000509324	9999.99	9999.99	9999.99	143
DATA	2020-12-12T033000_smart3-00433.ghg	2020-12-12	04:00:00	347.1666	0	18000	18000	-0.0706769	0	NaN	-12.2468	0	NaN	-2.89781	2	NaN	1.40745	0	NaN	-0.0656914	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.48281e-11	-2.57799e-12	NaN	NaN	16.7652	408.63	415.379	0.1	0	666.696	16.2498	16.5182	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.682	295.158	101200	1.18722	1014.46	0.0243736	-0.0042568	0.0120139	1636.43	2636.09	0.0101193	62.0779	999.66	287.523	-3.28614	0.103383	0.197012	3.29366	-1.61199e-14	-3.86681e-15	3.29366	5.71764	76.7998	178.198	3.42922	NaN	0.243991	0.380606	104.468	0.0382891	4.22622	0.0416756	0	82.5706	-12.5304	28.3438	70.5801	107.639	150.965	226.174	-0.070146	1.00757	-12.2361	1.01512	-1.73024	1.06215	1.89402	1.06215	-0.0392232	1.06215	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	14	0	3	4	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	73	0.398899	0.248361	0.113953	0.031836	0.000652005	36.1066	NaN	NaN	-0.0101596	0.00189402	-0.0392232	NaN	NaN	288.403	101869	24.4226	394.617	15.6926	13.9448	75.7941	220.093	0.299596	0.000542187	0.000540097	0.0000456774	0.0000560867	9999.99	9999.99	9999.99	071
