DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	129
DATA	2020-11-21T233000_smart3-00433.ghg	2020-11-22	00:00:00	327	0	18000	18000	-0.00824142	0	NaN	-7.76572	1	NaN	-2.82721	2	NaN	0.433316	2	NaN	-0.063721	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.42014e-11	-1.31135e-12	NaN	NaN	18.561	442.358	447.143	0	0	449.065	10.7024	10.8182	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	290.146	289.163	101217	1.21456	1011.26	0.0238326	-0.00412912	0.00809215	1079.88	1813.86	0.00666262	59.5346	733.988	281.255	0.896115	2.07367	0.123	2.26236	-6.04389e-14	-2.92017e-15	2.26236	3.22856	188.605	66.6289	3.1166	NaN	0.0823742	0.0825451	6.33374	0.631539	2.74678	0.0767556	1	149.612	66	149	335	693	1732	NaN	-0.00809302	1.01834	-7.63885	1.03737	-2.08871	1.13055	0.767112	1.13055	-0.0470764	1.13055	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	5	0	5	4	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	21	18000	18000	18000	18000	NaN	80	0.085316	0.0682016	0.0115728	0.13857	0.0084077	42.2873	NaN	NaN	-0.00621939	0.000767112	-0.0470764	NaN	NaN	281.816	102511	24.45	424.234	10.264	7.65816	78.5194	242.239	0.263813	0.00023919	0.000249154	0.0000266482	0.0000299781	9999.99	9999.99	9999.99	146
DATA	2020-11-22T000000_smart3-00433.ghg	2020-11-22	00:30:00	327.0208	0	18000	18000	-0.00552743	0	NaN	-7.41768	0	NaN	-4.51821	0	NaN	0.727661	0	NaN	-0.101776	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.52707e-11	-8.17381e-13	NaN	NaN	18.8307	447.826	452.522	0	0	436.393	10.3781	10.487	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.525	288.574	101217	1.21719	1011.07	0.0237816	-0.00659508	0.0078638	1047.27	1746.79	0.00646064	59.9539	699.52	280.805	0.77718	1.96543	0.124527	2.11717	1.86333e-15	-1.87304e-15	2.11717	3.18543	186.517	68.4249	3.37195	NaN	0.0673881	0.0465682	3.63011	1.1019	1.64173	0.0894435	1	219.964	97	220	495	1024	2571	NaN	-0.00538717	1.02604	-7.27935	1.05277	-3.45726	1.17631	0.991585	1.17631	-0.0778773	1.17631	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	3	0	14	12	8	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	26	18000	18000	18000	18000	NaN	80	0.0548186	0.0290747	0.00924307	0.0526109	0.00184251	12.3457	NaN	NaN	-0.00591502	0.000991585	-0.0778773	NaN	NaN	281.093	102508	24.4459	429.307	9.94899	7.20277	77.9356	237.709	0.264938	0.000268431	0.000289257	0.0000295137	0.0000335376	9999.99	9999.99	9999.99	048
DATA	2020-11-22T003000_smart3-00433.ghg	2020-11-22	01:00:00	327.0416	0	18000	18000	-0.0139658	0	NaN	-14.4323	0	NaN	-7.81435	0	NaN	0.980683	0	NaN	-0.176015	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.3509e-11	-7.70795e-13	NaN	NaN	18.8435	448.322	452.994	0	0	433.45	10.3126	10.4201	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.467	288.522	101153	1.21667	1011.03	0.0237919	-0.0114058	0.00781076	1040.02	1740.94	0.00641981	59.7388	700.923	280.703	0.753196	2.32467	0.159177	2.44882	-6.36725e-15	-1.77828e-15	2.44882	3.37498	182.911	72.0476	3.72693	NaN	0.107139	0.0722875	7.4945	0.533725	1.84689	0.10951	1	109.983	48	109	242	496	1222	7004	-0.0137309	1.0171	-14.3658	1.03494	-6.16996	1.12666	1.62038	1.12666	-0.138976	1.12666	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	15	4	0	4	6	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.0827152	0.0421732	0.0196866	0.0534809	0.00140414	11.0042	NaN	NaN	-0.0116787	0.00162038	-0.138976	NaN	NaN	281.043	102484	24.44	429.622	9.88245	7.10138	77.7948	240.928	0.258048	0.000265612	0.000286324	0.0000287261	0.0000339814	9999.99	9999.99	9999.99	015
DATA	2020-11-22T010000_smart3-00433.ghg	2020-11-22	01:30:00	327.0624	0	18000	18000	-0.0266468	0	NaN	-16.4506	0	NaN	-7.24591	0	NaN	0.860552	0	NaN	-0.163215	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.81169e-11	-1.34544e-12	NaN	NaN	18.7406	445.912	450.564	0	0	433.856	10.3231	10.4308	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.491	288.546	101153	1.21656	1011.03	0.0237939	-0.0105763	0.00781808	1041.07	1743.57	0.00642638	59.7093	702.496	280.718	0.728922	2.40621	0.181303	2.52073	3.33213e-14	-3.10112e-15	2.52073	3.99665	181.748	73.1467	4.12456	NaN	0.147998	0.115923	17.331	0.230801	2.27033	0.0903704	1	61.5611	27	59	128	253	592	3021	-0.0263529	1.01115	-16.4921	1.0226	-5.79221	1.08397	1.6622	1.08397	-0.13047	1.08397	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	10	3	0	8	9	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	80	0.11727	0.0833125	0.0312629	0.0391518	0.00490225	5.45824	NaN	NaN	-0.0134083	0.0016622	-0.13047	NaN	NaN	281.081	102468	24.4549	427.403	9.89465	7.11725	77.8144	247.434	0.257695	0.000140747	0.000150294	0.0000163238	0.0000177108	9999.99	9999.99	9999.99	199
DATA	2020-11-22T013000_smart3-00433.ghg	2020-11-22	02:00:00	327.0833	0	18000	18000	-0.0169433	0	NaN	-11.7181	0	NaN	-5.57376	0	NaN	0.8183	0	NaN	-0.125519	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.41126e-11	-3.18867e-13	NaN	NaN	18.7543	445.858	450.395	0	0	423.744	10.0739	10.1765	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.216	288.294	101143	1.21762	1010.89	0.0237736	-0.00813364	0.00763587	1015.92	1715.63	0.00627115	59.216	699.702	280.36	0.832073	1.94492	0.136422	2.11983	-5.84815e-15	-7.525e-16	2.11983	3.24147	188.108	66.8379	3.68982	NaN	0.117962	0.067449	12.3186	0.324713	2.10237	0.0807044	1	69.9199	31	68	149	299	714	3823	-0.0167347	1.01247	-11.741	1.02514	-4.50718	1.08636	1.37469	1.08636	-0.1015	1.08636	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	3	0	3	8	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	16	18000	18000	18000	18000	NaN	80	0.0703282	0.043049	0.0215208	0.0360637	0.00158784	14.5717	NaN	NaN	-0.00953872	0.00137469	-0.1015	NaN	NaN	280.759	102468	24.4592	427.225	9.653	6.75653	78.0083	229.131	0.270281	0.000164653	0.000175253	0.0000182275	0.0000204609	9999.99	9999.99	9999.99	096
DATA	2020-11-22T020000_smart3-00433.ghg	2020-11-22	02:30:00	327.1041	0	18000	18000	-0.00735036	0	NaN	-5.51271	0	NaN	-2.13205	0	NaN	1.06587	1	NaN	-0.0479981	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.23377e-11	-1.14905e-12	NaN	NaN	18.7671	445.12	449.513	0	0	412.024	9.77242	9.86887	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.865	287.971	101257	1.22049	1010.72	0.0237181	-0.00311028	0.00742466	986.719	1680.35	0.00608335	58.7211	693.63	279.935	1.0224	1.79829	0.100001	2.07103	9.17811e-16	-2.7888e-15	2.07103	2.86433	194.865	60.3801	2.76763	NaN	0.0776046	0.0595255	7.46116	0.53611	2.58564	0.0575855	1	136.465	60	136	304	627	1560	9146	-0.00723317	1.0162	-5.4533	1.03292	-1.64475	1.11096	1.24073	1.11096	-0.0370277	1.11096	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	2	1	9	19	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.073132	0.0349347	0.0109843	0.055647	0.00578538	12.3434	NaN	NaN	-0.00442074	0.00124073	-0.0370277	NaN	NaN	280.241	102470	24.45	426.72	9.36842	6.32231	77.6509	232.917	0.272823	0.000135959	0.000147247	0.0000149911	0.0000168318	9999.99	9999.99	9999.99	041
DATA	2020-11-22T023000_smart3-00433.ghg	2020-11-22	03:00:00	327.1249	0	18000	18000	-0.00680025	1	NaN	-7.29584	0	NaN	-6.28817	0	NaN	-0.0491837	2	NaN	-0.141571	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.49244e-11	3.29453e-13	NaN	NaN	18.5244	439.44	443.744	0	0	408.921	9.70052	9.79554	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.914	288.027	101257	1.22028	1010.68	0.0237222	-0.0091738	0.00736876	979.481	1686.45	0.00603856	58.0794	706.971	279.828	0.913828	1.83763	0.118474	2.05573	6.52651e-15	8.05663e-16	2.05573	3.38628	191.41	63.5595	3.30387	NaN	0.0746504	0.093797	5.01794	0.79714	1.16025	0.0792443	1	162.308	72	162	364	751	1878	NaN	-0.00666042	1.02099	-7.32957	1.04267	-5.12673	1.14192	0.344429	1.14192	-0.115423	1.14192	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001119	899999999	899999999	89999	89999	89	89	3	4	2	12	15	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	41	18000	18000	18000	18000	NaN	78	0.13783	0.0370006	0.0127636	0.0999929	0.0180464	22.9022	NaN	NaN	-0.00594297	0.000344429	-0.115423	NaN	NaN	280.222	102476	24.45	421.146	9.29671	6.21136	76.9235	239.457	0.263442	0.000140963	0.000149736	0.000015424	0.0000172027	9999.99	9999.99	9999.99	011
DATA	2020-11-22T030000_smart3-00433.ghg	2020-11-22	03:30:00	327.1458	0	18000	18000	-0.00618331	1	NaN	-5.59762	1	NaN	-3.08431	1	NaN	0.624354	1	NaN	-0.0694352	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.30528e-11	-1.17411e-12	NaN	NaN	18.3988	436.47	440.727	0	0	407.181	9.65948	9.7537	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.841	287.958	101228	1.22026	1010.66	0.0237228	-0.0044994	0.00733741	975.076	1678.89	0.006013	58.0786	703.814	279.762	0.489395	1.71015	0.101617	1.7817	-1.48898e-14	-2.8835e-15	1.7817	2.68049	180.717	74.0305	3.26956	NaN	0.0711844	0.0534683	5.66978	0.705495	1.81487	0.0637622	1	135.99	60	135	302	622	1546	9023	-0.00607063	1.01856	-5.5615	1.03761	-2.47866	1.11734	0.845382	1.11734	-0.0558006	1.11734	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	8	6	0	7	10	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	76	0.0622507	0.0381332	0.0065526	0.0419221	0.00281684	12.3783	NaN	NaN	-0.00450959	0.000845382	-0.0558006	NaN	NaN	280.131	102472	24.45	418.172	9.25452	6.1453	76.5076	237.614	0.267739	0.00013717	0.000148989	0.0000157527	0.000017514	9999.99	9999.99	9999.99	202
DATA	2020-11-22T033000_smart3-00433.ghg	2020-11-22	04:00:00	327.1666	0	18000	18000	-0.00808649	1	NaN	-6.15711	1	NaN	-5.91242	1	NaN	0.439552	1	NaN	-0.133081	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.86482e-12	-1.69868e-13	NaN	NaN	18.4191	436.671	440.829	0	0	397.826	9.43145	9.52125	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.654	287.792	101228	1.22106	1010.53	0.0237075	-0.00862367	0.00716882	952.127	1661.1	0.00587097	57.3192	708.969	279.416	0.416205	1.81203	0.103652	1.86211	1.86514e-14	-4.26992e-16	1.86211	2.73329	177.931	77.0642	3.19095	NaN	0.0813788	0.0912847	7.70109	0.519407	1.04139	0.0613169	1	109.32	48	108	241	493	1214	6948	-0.00796076	1.01579	-6.28911	1.03195	-5.03445	1.10248	0.740933	1.10248	-0.113319	1.10248	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	6	0	6	8	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	73	0.0455828	0.130715	0.00627119	0.0338707	0.00211584	42.2148	NaN	NaN	-0.00509687	0.000740933	-0.113319	NaN	NaN	279.92	102484	24.45	418.269	9.03401	5.79705	74.6991	240.087	0.262499	0.000161302	0.000171746	0.0000182503	0.000020413	9999.99	9999.99	9999.99	113
