DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	045
DATA	2021-05-15T233000_smart3-00433.ghg	2021-05-16	00:00:00	136	0	18000	18000	-0.016195	0	NaN	-18.9431	0	NaN	14.8559	0	NaN	3.17584	0	NaN	0.337315	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.41345e-11	-4.89722e-13	NaN	NaN	17.8262	436.528	443.232	0	0	617.626	15.1245	15.3567	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.246	296.82	101258	1.18175	1013.88	0.0244881	0.021858	0.0111296	1524.53	2915.44	0.00941792	52.2914	1390.91	286.433	0.174884	1.91282	0.10647	1.92374	7.17258e-14	-7.9291e-16	1.92374	2.96405	170.226	84.7761	3.17268	NaN	0.117065	0.0907029	7.46157	0.53608	-1.27512	0.135055	1	67.896	30	66	146	293	706	3839	-0.0159509	1.0153	-17.569	1.03096	14.0976	1.1407	3.48804	1.1407	0.320098	1.1407	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	10	2	0	7	11	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	68	0.0704076	0.0891277	0.0218705	0.191717	0.0132152	45.0742	NaN	NaN	-0.0146635	0.00348804	0.320098	NaN	NaN	290.74	101583	24.47	424.181	14.6967	12.8952	70.12	1835.8	0.0344874	0.000627647	0.000610493	0.0000485012	0.0000626104	9999.99	9999.99	9999.99	101540	0	292.214	060
DATA	2021-05-16T000000_smart3-00433.ghg	2021-05-16	00:30:00	136.0208	0	18000	18000	0.00541241	1	NaN	5.62008	2	NaN	11.0819	1	NaN	-5.02819	2	NaN	0.25125	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.00758e-10	-3.42161e-12	NaN	NaN	18.4515	449.576	456.546	0	1	626.584	15.267	15.5036	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.722	295.29	101248	1.18769	1013.92	0.0243654	0.016281	0.0112911	1538.67	2657.53	0.00950672	57.8984	1118.86	286.574	0.233591	1.36553	0.0659915	1.38694	-5.22237e-14	-5.46073e-15	1.38694	2.54352	178.2	80.2928	2.72721	NaN	0.0675062	0.151203	-4.82226	-0.829486	0.507142	-0.069134	1	53.7093	24	42	69	102	161	354	0.0053462	1.01238	6.20466	1.01356	10.0452	1.04295	-5.20853	1.04295	0.227747	1.04295	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001019	899999999	899999999	89999	89999	89	89	5	2	1	9	4	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	4801	4801	0	36	18000	18000	18000	18000	NaN	73	0.215281	0.0771996	0.00992545	0.356192	0.121405	60.2515	NaN	NaN	0.00515242	-0.00520853	0.227747	NaN	NaN	289.404	101595	24.47	436.981	14.8397	13.0447	71.7063	1511.35	0.0417265	0.000532892	0.000524085	0.0000449278	0.0000556755	9999.99	9999.99	9999.99	101540	0	291.131	128
DATA	2021-05-16T003000_smart3-00433.ghg	2021-05-16	01:00:00	136.0416	0	18000	18000	0.00686607	1	NaN	0.260686	2	NaN	4.15102	1	NaN	-1.73859	2	NaN	0.0939818	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.80694e-11	8.73892e-13	NaN	NaN	19.2537	466.726	473.608	0	1	599.43	14.5307	14.7449	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.205	293.85	101248	1.19384	1013.48	0.0242408	0.00609002	0.0108017	1464.81	2433.18	0.00904787	60.2014	968.373	285.822	0.603044	0.94378	0.0298697	1.12039	2.27597e-14	1.45787e-15	1.12039	1.8386	198.847	57.4228	1.52769	NaN	0.0758369	0.0528691	-147.373	-0.0271421	0.0628004	-0.00284103	1	55.9985	24	47	86	143	262	779	0.0067685	1.01442	0.502492	1.01462	3.90741	1.04201	-1.72395	1.04201	0.0884663	1.04201	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001019	899999999	899999999	89999	89999	89	89	3	21	1	16	10	33	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	71	0.0512076	0.0494623	0.00506834	0.0447809	0.0518024	41.6658	NaN	NaN	0.000415306	-0.00172395	0.0884663	NaN	NaN	288.187	101591	24.4602	454.092	14.1373	12.3048	70.5365	1345.28	0.0430642	0.000476265	0.00047167	0.0000422463	0.00005147	9999.99	9999.99	9999.99	101546	0	289.69	015
DATA	2021-05-16T010000_smart3-00433.ghg	2021-05-16	01:30:00	136.0624	0	18000	18000	0.0129887	1	NaN	14.2388	2	NaN	7.88255	1	NaN	-8.94013	2	NaN	0.178292	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.10494e-11	-2.65755e-12	NaN	NaN	20.1558	487.153	494.18	0	1	588.309	14.219	14.4241	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.163	292.84	101189	1.1974	1013.28	0.0241693	0.0115533	0.0106013	1432.7	2286.05	0.00885366	62.6714	853.349	285.484	0.845131	0.513872	-0.0397815	0.989896	-2.39195e-14	-4.51727e-15	0.989896	1.81687	226.337	31.3012	-2.3032	NaN	0.104151	0.0710393	-6.98554	-0.572611	1.80636	-0.112678	1	22.8557	10	18	30	45	73	168	0.0127865	1.01582	14.4881	1.01542	6.45793	1.04191	-9.43873	1.04191	0.146069	1.04191	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000119	899999999	899999999	89999	89999	89	89	13	6	2	9	9	39	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	73	0.0695461	0.0661607	0.00637187	0.312742	0.283501	38.8052	NaN	NaN	0.0119411	-0.00943873	0.146069	NaN	NaN	287.482	101595	24.4569	474.172	13.8406	11.9829	71.8951	1498.77	0.0374294	0.000397898	0.000395047	0.0000325409	0.0000411687	9999.99	9999.99	9999.99	101557	0	289.097	061
DATA	2021-05-16T013000_smart3-00433.ghg	2021-05-16	02:00:00	136.0833	0	18000	18000	0.0110763	0	NaN	-1.87787	2	NaN	6.59693	1	NaN	2.61503	2	NaN	0.149146	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.88118e-11	1.6755e-12	NaN	NaN	20.817	502.229	509.519	-0.1	0	593.061	14.3081	14.5158	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.702	292.373	101212	1.19955	1013.32	0.0241259	0.00966464	0.010687	1441.96	2220.6	0.00890917	64.9359	778.634	285.582	1.06823	0.653647	-0.023326	1.25256	-5.26144e-14	2.82518e-15	1.25256	2.47282	225.477	31.4623	-1.06706	NaN	0.0960923	0.106481	41.6056	0.096141	-0.284659	0.0160773	1	40.8383	18	38	78	147	321	1401	0.0109837	1.00843	-1.47048	1.01355	6.29044	1.05582	2.51033	1.05582	0.142216	1.05582	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000119	800000119	899999999	899999999	89999	89999	89	89	16	5	3	28	34	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	73	0.153945	0.046354	0.0126634	0.0792809	0.0836878	46.9678	NaN	NaN	-0.00120974	0.00251033	0.142216	NaN	NaN	287.029	101605	24.45	488.926	13.929	12.0813	71.9493	1370.41	0.0424829	0.000389551	0.000397625	0.0000309724	0.0000394022	9999.99	9999.99	9999.99	101568	0	288.325	250
DATA	2021-05-16T020000_smart3-00433.ghg	2021-05-16	02:30:00	136.1041	0	18000	18000	-0.0128455	1	NaN	-12.5107	1	NaN	0.611475	2	NaN	23.6656	1	NaN	0.013821	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.09471e-10	-2.97729e-12	NaN	NaN	21.9434	528.946	536.666	-0.1	0	596.798	14.3858	14.5958	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.448	292.113	101212	1.20058	1013.36	0.024105	0.000895599	0.0107543	1449.76	2184.87	0.0089576	66.3545	735.11	285.664	0.160842	0.588325	0.0280706	0.610561	1.25696e-13	-4.98878e-15	0.610561	1.40764	175.329	74.7096	2.63511	NaN	0.103438	0.0959056	7.78953	0.51351	-20.4599	0.0994145	1	11.349	5	11	22	42	94	424	-0.0126494	1.0155	-12.1352	1.02839	1.38614	1.10538	22.1018	1.10538	0.0313305	1.10538	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	1	2	3	17	24	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.0479214	0.137526	0.00636381	0.264288	2.41983	51.1293	NaN	NaN	-0.00997451	0.0221018	0.0313305	NaN	NaN	286.913	101606	24.4629	515.144	14.011	12.1704	72.2806	1291.78	0.0450234	0.000390126	0.00040577	0.0000326908	0.000040156	9999.99	9999.99	9999.99	101570	0	288.335	123
DATA	2021-05-16T023000_smart3-00433.ghg	2021-05-16	03:00:00	136.1249	0	18000	18000	-0.00295169	1	NaN	-0.595781	2	NaN	5.27491	1	NaN	6.59861	1	NaN	0.119153	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.75043e-11	4.40912e-13	NaN	NaN	22.9477	551.746	559.522	0.2	0	578.022	13.8978	14.0936	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.755	291.468	101231	1.20367	1013.07	0.0240437	0.00772111	0.010416	1401.05	2098.52	0.00865346	66.7636	697.473	285.145	-0.346616	0.570061	0.0267531	0.667703	-2.06224e-14	7.62794e-16	0.667703	1.15642	135.834	121.301	2.29631	NaN	0.0495201	0.0288611	17.9484	0.222861	-0.112946	0.00986632	1	44.2463	19	42	91	177	410	2035	-0.00291944	1.01105	-0.282035	1.01539	4.96945	1.05541	6.22659	1.05541	0.112253	1.05541	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000119	800000119	899999999	899999999	89999	89999	89	89	4	2	2	11	2	12	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	26	18000	18000	18000	18000	NaN	73	0.0315662	0.0225233	0.00363277	0.0423484	0.726183	119.023	NaN	NaN	-0.000231288	0.00622659	0.112253	NaN	NaN	286.233	101589	24.47	537.557	13.5402	11.6479	71.8558	1276.18	0.0428751	0.000370277	0.000389247	0.0000289462	0.0000374718	9999.99	9999.99	9999.99	101557	0	287.661	142
DATA	2021-05-16T030000_smart3-00433.ghg	2021-05-16	03:30:00	136.1458	0	18000	18000	-0.00611226	1	NaN	-4.53086	1	NaN	3.87182	1	NaN	9.45847	1	NaN	0.0874557	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.55521e-11	1.80251e-12	NaN	NaN	20.4901	492.534	499.296	0.1	0	563.422	13.5434	13.7293	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.682	291.429	101231	1.204	1012.88	0.0240377	0.00566713	0.0101529	1365.48	2093.31	0.00843261	65.2305	727.833	284.755	-0.651097	0.952665	0.0487937	1.15494	8.43259e-15	3.19921e-15	1.15494	1.81449	131.398	124.351	2.42135	NaN	0.0712505	0.0448471	7.02951	0.56903	-1.17021	0.0521447	1	67.2996	30	66	144	290	698	3786	-0.00602213	1.01497	-4.19237	1.0294	3.69031	1.12121	8.6307	1.12121	0.0833559	1.12121	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	14	5	2	13	9	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	73	0.069324	0.014655	0.00571521	0.0335845	0.355563	48.3225	NaN	NaN	-0.00343777	0.0086307	0.0833559	NaN	NaN	286.139	101584	24.4602	479.851	13.1946	11.2582	72.3538	1121.5	0.0467575	0.00034744	0.000354393	0.0000323037	0.0000386238	9999.99	9999.99	9999.99	101547	0	287.358	188
DATA	2021-05-16T033000_smart3-00433.ghg	2021-05-16	04:00:00	136.1666	0	18000	18000	-0.00738028	1	NaN	-6.84701	1	NaN	4.10135	1	NaN	3.5425	1	NaN	0.0926594	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.29287e-11	2.13618e-12	NaN	NaN	19.153	460.983	467.292	0.1	0	561.02	13.5028	13.6877	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.895	291.644	101175	1.20247	1012.86	0.0240684	0.00600433	0.0101096	1360.66	2121.79	0.00840736	64.1279	761.13	284.702	-0.546192	1.04619	0.0535413	1.1814	1.43829e-14	3.80768e-15	1.1814	1.80156	138.128	117.568	2.59755	NaN	0.0783429	0.058767	6.18115	0.647129	-1.66945	0.0717594	1	61.5504	27	60	131	262	626	3342	-0.00726266	1.01619	-6.41553	1.03209	3.99536	1.13253	3.41639	1.13253	0.090265	1.13253	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000119	800000119	899999999	899999999	89999	89999	89	89	9	2	1	10	13	35	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	73	0.0313905	0.0806855	0.00545808	0.0536627	0.0386632	21.36	NaN	NaN	-0.00526757	0.00341639	0.090265	NaN	NaN	286.356	101579	24.46	448.896	13.1488	11.2054	72.7977	1146.36	0.0467069	0.000313222	0.000323464	0.000029744	0.0000355094	9999.99	9999.99	9999.99	101545	0	287.503	250
