DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	045
DATA	2021-04-24T233000_smart3-00433.ghg	2021-04-25	00:00:00	115	0	18000	18000	-0.117604	0	NaN	-5.75547	0	NaN	32.1555	0	NaN	1.70865	0	NaN	0.729342	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.86549e-13	2.37375e-14	NaN	NaN	16.6792	409.855	415.746	0	0	576.686	14.1707	14.3744	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.053	295.722	100506	1.17774	1013.32	0.0245727	0.0472613	0.0103919	1418.21	2728.39	0.00882356	51.9797	1310.18	285.329	1.74179	-2.88689	-0.0301363	3.37178	3.67534e-14	4.11619e-17	3.37178	6.77169	313.806	301.104	-0.512105	NaN	0.315999	0.541339	480.372	0.00832689	-0.178989	0.0152615	0	96.6162	-14.6619	33.1652	82.5861	125.949	176.645	264.647	-0.116805	1.00684	-3.78682	1.01336	30.4374	1.05516	1.59503	1.05516	0.690372	1.05516	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	11	1	1	17	10	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	4033	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.695467	0.258153	0.129059	0.021774	0.00124556	32.5375	NaN	NaN	-0.00317305	0.00159503	0.690372	NaN	NaN	289.609	101009	24.45	397.593	13.7468	11.7925	78.5934	72.3032	11.6914	0.000389779	0.000385924	0.0000379376	0.0000438043	9999.99	9999.99	9999.99	100977	0	290.239	205
DATA	2021-04-25T000000_smart3-00433.ghg	2021-04-25	00:30:00	115.0208	0	18000	18000	-0.110804	0	NaN	-7.56248	0	NaN	31.0082	0	NaN	2.16524	0	NaN	0.703262	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.31068e-11	-1.15231e-12	NaN	NaN	16.7037	410.459	416.408	0	0	581.39	14.2864	14.4935	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.979	295.638	100480	1.17773	1013.38	0.0245729	0.0455714	0.0104766	1429.37	2714.43	0.00889564	52.6582	1285.06	285.449	1.76447	-2.69496	-0.0276386	3.22132	-4.638e-14	-1.982e-15	3.22132	7.07872	312.059	303.214	-0.491597	NaN	0.306729	0.577641	334.295	0.0119655	-0.243886	0.0206581	0	96.1326	-14.5885	32.9992	82.1727	125.319	175.761	263.322	-0.110049	1.00685	-5.63701	1.01327	29.5244	1.05393	2.12145	1.05393	0.669609	1.05393	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	3	2	0	15	19	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	3798	0	18000	0	0	101	0	4801	4801	0	36	18000	18000	18000	18000	NaN	80	0.746758	0.285391	0.123133	0.00997969	0.00148666	29.9167	NaN	NaN	-0.00472313	0.00212145	0.669609	NaN	NaN	289.588	100987	24.45	398.235	13.8609	11.9146	78.5748	72.3294	11.7225	0.000427331	0.000423223	0.0000404504	0.0000475888	9999.99	9999.99	9999.99	100972	0	290.05	089
DATA	2021-04-25T003000_smart3-00433.ghg	2021-04-25	01:00:00	115.0416	0	18000	18000	-0.140672	0	NaN	-6.91182	0	NaN	32.5027	0	NaN	1.79337	0	NaN	0.737196	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.86314e-11	-1.68055e-12	NaN	NaN	16.6575	409.537	415.416	0	0	575.634	14.1523	14.3555	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.023	295.694	100443	1.17712	1013.31	0.0245857	0.0477703	0.0103729	1415.49	2723.75	0.00881209	51.9685	1308.26	285.3	2.0823	-3.10867	-0.0509982	3.74198	2.13155e-14	-2.91949e-15	3.74198	7.17288	311.068	303.816	-0.780889	NaN	0.345695	0.66704	523.471	0.0076413	-0.212654	0.0167623	0	98.1541	-14.8953	33.6931	83.9006	127.954	179.457	268.859	-0.139691	1.00702	-4.91224	1.01412	30.6909	1.06032	1.71571	1.06032	0.696102	1.06032	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	9	5	1	17	14	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	5793	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.861332	0.324271	0.148476	0.0052255	0.000674234	42.8031	NaN	NaN	-0.00411827	0.00171571	0.696102	NaN	NaN	289.648	100952	24.442	397.354	13.7313	11.7666	78.5827	72.5858	11.0931	0.000459095	0.000455893	0.0000432091	0.0000505357	9999.99	9999.99	9999.99	100972	0	290.05	042
DATA	2021-04-25T010000_smart3-00433.ghg	2021-04-25	01:30:00	115.0624	0	18000	18000	-0.186249	0	NaN	-13.5348	1	NaN	37.1821	0	NaN	2.21076	0	NaN	0.843154	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.37984e-11	1.84909e-12	NaN	NaN	16.666	409.515	415.361	0	0	572.824	14.0753	14.2763	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	296.8	295.479	100424	1.17779	1013.26	0.0245718	0.0546364	0.0103223	1407.55	2688.4	0.00876411	52.3565	1280.85	285.215	2.12204	-3.49851	-0.0395117	4.09196	-4.31504e-15	3.22803e-15	4.09196	8.84746	313.477	301.239	-0.553252	NaN	0.397661	0.892562	406.844	0.00983177	-0.364013	0.0285199	0	100.249	-15.2132	34.4122	85.6913	130.685	183.287	274.597	-0.184896	1.00732	-11.1716	1.01506	35.2986	1.06606	2.35131	1.06606	0.800444	1.06606	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	4	3	1	4	8	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	4768	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	1.17868	0.420079	0.186367	0.0331979	0.000737085	30.181	NaN	NaN	-0.00936108	0.00235131	0.800444	NaN	NaN	289.387	100926	24.4413	397.299	13.6555	11.6793	78.5581	72.2851	11.3525	0.000392947	0.000389979	0.0000370662	0.0000437368	9999.99	9999.99	9999.99	100972	0	290.05	130
DATA	2021-04-25T013000_smart3-00433.ghg	2021-04-25	02:00:00	115.0833	0	18000	18000	-0.0891238	0	NaN	-16.7551	0	NaN	22.038	0	NaN	2.00869	0	NaN	0.499287	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.39504e-11	-8.24849e-13	NaN	NaN	16.756	410.568	416.457	0	0	577.074	14.1399	14.3427	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.864	294.542	100389	1.18111	1013.28	0.0245028	0.0323538	0.0103989	1413.5	2538.93	0.00880435	55.673	1125.43	285.279	1.81579	-2.21831	-0.0263305	2.86683	4.84604e-15	-1.42937e-15	2.86683	5.95524	305.309	309.302	-0.526244	NaN	0.274696	0.397658	108.303	0.0369335	-0.760283	0.0509656	0	97.9774	-14.8685	33.6325	83.7496	127.723	179.134	268.375	-0.0884837	1.00723	-15.2354	1.01393	21.7557	1.05436	2.46691	1.05436	0.492892	1.05436	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	4	0	1	13	6	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	13867	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.510244	0.190898	0.0941743	0.0904515	0.00111814	17.7359	NaN	NaN	-0.0127302	0.00246691	0.492892	NaN	NaN	288.405	100884	24.45	398.255	13.7159	11.7399	78.4148	72.9827	9.67022	0.000335936	0.000334352	0.0000320035	0.000037708	9999.99	9999.99	9999.99	100972	0	290.05	090
DATA	2021-04-25T020000_smart3-00433.ghg	2021-04-25	02:30:00	115.1041	0	18000	18000	-0.0624485	1	NaN	-21.5749	1	NaN	15.8384	1	NaN	3.04234	1	NaN	0.358467	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.66969e-11	1.95032e-12	NaN	NaN	16.9026	412.753	418.698	0	0	581.434	14.1983	14.4028	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.813	293.489	100374	1.18513	1013.28	0.0244195	0.0232286	0.0104774	1419.09	2379.75	0.00884074	59.6318	960.663	285.339	1.27318	-1.22173	0.000503626	1.76455	1.23648e-14	3.35433e-15	1.76455	4.40561	293.386	316.181	0.016353	NaN	0.22955	0.455117	49.0749	0.081508	-1.36218	0.0782658	0	107.491	-16.3122	36.8983	91.8819	140.126	196.528	294.435	-0.0619601	1.00788	-20.3456	1.01401	16.4632	1.04397	3.76419	1.04397	0.372606	1.04397	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	4	2	0	2	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	17945	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.626324	0.231746	0.0521632	0.14037	0.00750616	23.8561	NaN	NaN	-0.0169423	0.00376419	0.372606	NaN	NaN	287.489	100884	24.4593	400.463	13.7755	11.8056	78.205	75.5811	6.9636	0.000412747	0.000420527	0.0000318268	0.000041499	9999.99	9999.99	9999.99	100972	0	290.05	046
DATA	2021-04-25T023000_smart3-00433.ghg	2021-04-25	03:00:00	115.1249	0	18000	18000	-0.0143482	0	NaN	-3.33442	0	NaN	5.38884	0	NaN	0.689224	0	NaN	0.121837	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.54001e-11	-1.19003e-12	NaN	NaN	17.179	414.375	420.229	-0.2	0	577.499	13.9299	14.1267	-0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.704	292.41	101233	1.19981	1013.11	0.024121	0.00789504	0.0104065	1404.31	2225.73	0.00867346	63.094	821.429	285.18	0.890244	0.0731344	-0.0335031	0.893871	-1.00027e-14	-2.06066e-15	0.893871	1.93521	251.266	4.69635	-2.148	NaN	0.109356	0.0694288	34.5376	0.115816	-0.618765	0.0250846	1	20.7054	9	19	39	74	162	702	-0.0142103	1.00971	-2.96663	1.01475	5.3769	1.03288	0.774639	1.03288	0.121567	1.03288	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	10	45	5	16	9	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.0677174	0.0533415	0.0177988	0.0570312	0.00664696	22.8075	NaN	NaN	-0.00244058	0.000774639	0.121567	NaN	NaN	286.646	100876	24.47	405.849	13.6433	11.6582	77.9398	78.0781	5.25996	0.000358347	0.000364716	0.0000324458	0.0000394646	9999.99	9999.99	9999.99	100972	0	290.05	037
DATA	2021-04-25T030000_smart3-00433.ghg	2021-04-25	03:30:00	115.1458	0	18000	18000	-0.0188923	0	NaN	-8.87695	1	NaN	11.8918	0	NaN	4.79406	1	NaN	0.268679	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.38734e-11	-1.72104e-12	NaN	NaN	17.5713	422.75	428.538	-0.1	0	561.334	13.5052	13.6901	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.95	291.699	101233	1.20293	1012.86	0.0240591	0.0174104	0.0101152	1361.68	2129.13	0.00840884	63.9548	767.449	284.713	1.14659	0.817793	0.00790928	1.40837	-2.79062e-14	-3.06599e-15	1.40837	2.85371	221.062	35.498	0.321769	NaN	0.125321	0.127162	19.5234	0.204883	-0.746477	0.0581368	1	33.7083	15	32	68	132	301	1448	-0.0187117	1.00965	-8.03133	1.01782	11.7616	1.05023	4.87495	1.05023	0.265738	1.05023	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	4	0	19	17	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.152396	0.0790487	0.0228796	0.0609023	0.0210979	63.1732	NaN	NaN	-0.00659171	0.00487495	0.265738	NaN	NaN	286.146	100850	24.454	414.497	13.2417	11.2022	77.9342	75.1203	6.25145	0.000355649	0.000381653	0.0000310603	0.0000383599	9999.99	9999.99	9999.99	100838	0	287.689	210
DATA	2021-04-25T033000_smart3-00433.ghg	2021-04-25	04:00:00	115.1666	0	18000	18000	-0.028143	1	NaN	-3.65585	1	NaN	15.1712	1	NaN	1.2936	1	NaN	0.342714	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.83742e-10	-5.68577e-12	NaN	NaN	17.7092	425.708	431.39	0	0	547.999	13.1732	13.3491	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.741	291.522	101247	1.20397	1012.67	0.0240388	0.0222079	0.00987494	1328.52	2105.63	0.00820197	63.0941	777.101	284.341	0.841471	1.07004	0.0498136	1.36218	-5.58146e-14	-1.03755e-14	1.36218	2.67665	204.925	51.8188	2.09571	NaN	0.152889	0.224737	86.0812	0.0464678	-0.240973	0.0196122	1	24.5178	11	22	44	80	166	647	-0.0279229	1.00788	-2.71654	1.01201	14.7418	1.03255	1.2885	1.03255	0.333015	1.03255	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	2	0	6	38	35	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.28062	0.143323	0.0255322	0.00960011	0.00371617	43.1852	NaN	NaN	-0.00222808	0.0012885	0.333015	NaN	NaN	285.898	100826	24.45	417.492	12.919	10.8275	78.0449	75.919	6.27102	0.000197748	0.000205206	0.0000210416	0.0000235588	9999.99	9999.99	9999.99	100779	0	286.691	146
