date,Tmed,Tmin,Tmax,Osc.,Prec.,PAcum,TH,TS
2017-04-01,2.796270833333337,1.004000000000019,4.564000000000021,3.5600000000000023,0.19625,781.875,5.965369389721685,2.9429999999999836
2017-04-02,2.1092500000000016,1.2029999999999745,3.2579999999999814,2.055000000000007,0.355,782.7062500000001,6.8955003196406714,1.3559999999999945
2017-04-03,4.106833333333333,0.04599999999999227,7.7169999999999845,7.670999999999992,0.0,787.0500000000001,3.6014375208576688,1.1689999999999827
2017-04-04,2.977666666666668,0.028999999999996362,5.427000000000021,5.398000000000025,0.0,784.9625,5.073379550021086,1.8319999999999936
2017-04-05,2.140499999999998,-0.17599999999998772,4.774999999999977,4.950999999999965,0.0,783.7125,3.5866886771620248,0.9110000000000014
2017-04-06,2.421854166666668,-1.021000000000015,6.307999999999993,7.329000000000008,0.0,783.5770833333332,1.8227943836236051,0.7719999999999914
2017-04-07,3.4681875000000013,-0.9370000000000118,8.331999999999994,9.269000000000005,0.0,786.4979166666667,4.5289045751310875,1.7869999999999777
2017-04-08,4.1869999999999985,0.8509999999999991,8.716999999999985,7.8659999999999854,0.0,788.9416666666666,6.713596089002019,3.0369999999999777
2017-04-09,4.958166666666664,2.1779999999999973,9.199999999999989,7.021999999999991,0.0,791.1833333333334,11.194929490109995,3.8210000000000264
2017-04-10,4.112500000000007,-1.0559999999999832,8.12700000000001,9.182999999999993,0.0,789.2729166666667,9.517758217017702,3.1370000000000005
2017-04-11,3.7683333333333366,-1.5009999999999764,7.718000000000018,9.218999999999994,0.0,786.1895833333333,8.895228264012113,3.353999999999985
2017-04-12,4.161562500000002,-0.7749999999999773,8.312000000000012,9.086999999999989,0.0,786.1041666666666,11.277540427422311,3.4329999999999927
2017-04-13,4.600312500000004,0.7370000000000232,9.089999999999975,8.352999999999952,0.0,782.5291666666667,6.318537424269974,3.2239999999999895
2017-04-14,4.772958333333329,0.10899999999998045,9.004000000000019,8.895000000000039,0.0,782.1583333333333,6.046779409652757,3.3530000000000086
2017-04-15,4.250583333333335,2.2069999999999936,6.9879999999999995,4.781000000000006,0.0,782.2375000000001,10.913090182715171,3.583000000000027
2017-04-16,3.3583958333333364,1.1309999999999718,5.521000000000015,4.390000000000043,0.006041666666666667,782.4333333333334,5.977927527811053,2.737000000000023
2017-04-17,2.2371458333333365,-1.3500000000000227,6.0120000000000005,7.362000000000023,0.0,780.7458333333334,4.404064153319394,1.4110000000000014
2017-04-18,-0.9362083333333366,-5.266999999999996,0.728999999999985,5.995999999999981,0.0,778.8770833333333,0.9079089088961826,0.41500000000002046
2017-04-19,-3.7009166666666693,-6.463999999999999,-1.3389999999999986,5.125,0.0,781.9979166666667,-6.5930448171940075,-3.6240000000000236
2017-04-20,-1.8682083333333293,-7.704999999999984,2.5679999999999836,10.272999999999968,0.0,785.71875,-5.8781860257521865,-2.822999999999979
2017-04-21,1.0423958333333339,-4.488999999999976,6.069999999999993,10.558999999999969,0.0,789.1458333333334,-0.406635963471873,-0.17700000000002092
2017-04-22,3.6682708333333323,-1.4470000000000027,8.690999999999974,10.137999999999977,0.0,786.6770833333334,5.904673072836472,3.13900000000001
2017-04-23,4.611041666666662,0.40300000000002,9.009999999999991,8.606999999999971,0.0,783.6291666666666,4.52527738659478,2.048000000000002
2017-04-24,4.246708333333331,1.9519999999999982,6.836999999999989,4.884999999999991,0.0,783.7062500000001,17.387451631029997,3.3279999999999745
2017-04-25,3.8237708333333322,2.9809999999999945,5.2029999999999745,2.22199999999998,0.27875,778.2270833333333,22.81135645892028,4.204999999999984
2017-04-26,2.7657916666666638,1.5609999999999786,3.7939999999999827,2.233000000000004,0.44854166666666667,774.2520833333333,15.338131936633753,2.8999999999999773
2017-04-27,0.6895416666666705,-1.6879999999999882,1.8330000000000268,3.521000000000015,0.20333333333333334,773.3854166666666,4.2234395241324325,0.9730000000000132
2017-04-28,-2.111729166666661,-4.937000000000012,-0.1419999999999959,4.795000000000016,0.129375,773.5708333333333,-7.710717885390999,-2.461999999999989
2017-04-29,-1.1905416666666693,-7.766999999999996,3.5049999999999955,11.271999999999991,0.0,780.2458333333334,-3.0745270197461534,-1.5880000000000223
2017-04-30,0.7457291666666682,-4.153999999999996,3.2490000000000236,7.40300000000002,0.0010416666666666667,780.1916666666666,-0.3879380108482221,-0.10099999999999909
2017-05-01,-0.28354166666666697,-2.7549999999999955,1.4510000000000218,4.206000000000017,0.32,777.3708333333334,0.24545636417980105,0.04599999999999227
2017-05-02,-0.7922916666666685,-5.175000000000011,2.694999999999993,7.8700000000000045,0.043125000000000004,780.6916666666666,-1.0059029787327458,-0.41699999999997317
2017-05-03,0.623562500000002,-2.0849999999999795,3.274000000000001,5.3589999999999804,0.04395833333333334,781.5979166666666,1.7146442944292841,0.44299999999998363
2017-05-04,0.6746250000000013,-1.815999999999974,3.0389999999999873,4.854999999999961,0.059166666666666666,780.4666666666667,2.5356729600647516,0.5889999999999986
2017-05-05,1.9826874999999973,-4.074000000000012,7.651999999999987,11.725999999999999,0.0,783.0708333333333,1.6956570649839193,0.6639999999999873
2017-05-06,2.9805416666666638,2.511000000000024,3.7819999999999823,1.2709999999999582,0.11791666666666667,781.1604166666666,17.352990224342072,3.416999999999973
2017-05-07,2.973833333333333,1.589999999999975,4.9080000000000155,3.3180000000000405,0.0,781.0541666666667,10.3103955950377,2.5500000000000114
2017-05-08,3.4308333333333336,1.117999999999995,6.0849999999999795,4.9669999999999845,0.04395833333333333,780.8854166666666,13.104508164336828,2.7889999999999873
2017-05-09,4.349916666666664,1.1059999999999945,7.336999999999989,6.2309999999999945,0.0,779.1104166666668,8.760847876049262,3.1580000000000155
2017-05-10,4.145833333333331,1.100999999999999,7.314000000000021,6.213000000000022,0.013541666666666667,778.8354166666667,15.966253630785667,3.401999999999987
2017-05-11,3.81283333333333,3.261000000000024,4.2590000000000146,0.9979999999999905,0.08395833333333334,776.1750000000001,21.937801541463948,4.1440000000000055
2017-05-12,4.217062500000001,2.288000000000011,6.798999999999978,4.510999999999967,0.07583333333333334,776.5812500000001,19.538743981721794,4.024000000000001
2017-05-13,5.508520833333335,2.7590000000000146,8.689999999999998,5.930999999999983,0.12395833333333334,782.9458333333333,15.63729950884548,4.02800000000002
2017-05-14,6.350395833333333,3.3929999999999723,9.583000000000027,6.190000000000055,0.0,789.35,25.350436059145203,5.920000000000016
2017-05-15,7.1261874999999995,2.2130000000000223,11.141999999999996,8.928999999999974,0.0,793.8249999999999,18.428789233066333,6.2409999999999854
2017-05-16,8.816875,4.495999999999981,13.069999999999993,8.574000000000012,0.0,795.1833333333334,31.565087155246676,8.233000000000004
2017-05-17,9.169312499999998,4.757000000000005,12.769999999999982,8.012999999999977,0.0,791.9854166666668,41.53461883895817,8.134999999999991
2017-05-18,8.224645833333335,6.968000000000018,9.507000000000005,2.5389999999999873,0.07625,787.1729166666668,43.38851370359256,8.026999999999987
2017-05-19,4.567520833333332,1.2629999999999768,6.8489999999999895,5.586000000000013,0.5002083333333333,782.1645833333333,30.94335547707242,6.024000000000001
2017-05-20,3.3050416666666713,-0.5670000000000073,6.843000000000018,7.410000000000025,0.0,785.2333333333332,7.554523837430202,2.230000000000018
2017-05-21,6.302687499999997,-0.29599999999999227,11.285000000000025,11.581000000000017,0.0,788.7854166666666,16.719971574193767,6.2339999999999804
2017-05-22,8.126854166666666,3.7579999999999814,12.396000000000015,8.638000000000034,0.0,788.3000000000001,22.605826718564508,6.4739999999999895
2017-05-23,9.237562500000001,5.242000000000019,12.959000000000003,7.7169999999999845,0.0,789.5416666666666,19.686961836347578,8.394999999999982
2017-05-24,10.078166666666672,5.401999999999987,13.694000000000017,8.29200000000003,0.0,790.1416666666668,29.63403604514996,9.309000000000026
2017-05-25,10.142208333333334,5.65300000000002,14.452999999999975,8.799999999999955,0.0,788.1208333333334,27.595397144385345,9.326000000000022
2017-05-26,10.727416666666663,7.538999999999987,14.273000000000025,6.734000000000037,0.0,788.8770833333333,46.730989509608996,9.101999999999975
2017-05-27,10.686,6.665999999999997,15.074000000000012,8.408000000000015,0.0,791.2583333333333,47.35115855069732,9.586999999999989
2017-05-28,11.223666666666666,9.24799999999999,15.100999999999999,5.853000000000009,0.13770833333333332,792.6437500000001,51.63937720366142,10.456000000000017
2017-05-29,10.510833333333334,7.646000000000015,14.163999999999987,6.517999999999972,0.004583333333333333,790.1270833333333,47.51250417396703,9.208000000000027
2017-05-30,10.116375,6.810999999999979,13.156000000000006,6.345000000000027,0.0,789.1645833333333,44.81154501289141,9.15100000000001
2017-05-31,9.966958333333332,6.319000000000017,13.980000000000018,7.661000000000001,0.0,790.9499999999999,32.18078716802757,9.845000000000027
2017-06-01,8.586937499999998,4.4220000000000255,12.168000000000006,7.745999999999981,0.034583333333333334,790.8729166666667,31.7368351428512,8.884999999999991
2017-06-02,9.2954375,5.910000000000025,12.41500000000002,6.5049999999999955,0.26958333333333334,789.3854166666666,36.30180722400797,9.038000000000011
2017-06-03,9.178145833333334,5.877999999999986,11.668999999999983,5.790999999999997,0.0,787.2583333333333,38.89343966328234,9.220000000000027
2017-06-04,8.963895833333334,6.961000000000013,11.367000000000019,4.406000000000006,0.08958333333333333,784.74375,34.822574023418134,8.466000000000008
2017-06-05,7.4810000000000025,5.646999999999991,9.000999999999976,3.353999999999985,0.05958333333333333,783.3333333333334,36.52660704358312,7.1580000000000155
2017-06-06,6.74489583333333,2.809000000000026,8.786000000000001,5.976999999999975,0.055,780.4958333333334,40.20068532019111,8.245000000000005
