,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
20,0.7083791494369507,0.44206956028938293,0.3987996578216553,2.1782259941101074,0.45797502994537354,-0.5327947735786438,0.21754573285579681,0.47796863317489624
40,0.6990758180618286,0.38529762625694275,0.38116830587387085,2.126229763031006,0.451200008392334,-0.5075146555900574,0.22689296305179596,0.485012948513031
60,0.7050204873085022,0.4196201264858246,0.37511733174324036,2.1665945053100586,0.46200495958328247,-0.5186988115310669,0.223567932844162,0.48221269249916077
80,0.6945207118988037,0.42009398341178894,0.379194974899292,2.1717417240142822,0.4571082592010498,-0.5358014106750488,0.2035151571035385,0.4575316309928894
100,0.6601699590682983,0.4088921546936035,0.3772507607936859,2.073246479034424,0.4375872313976288,-0.5175108909606934,0.18976686894893646,0.4269159436225891
