,NDVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
20,0.3262428343296051,0.19046719372272491,0.6063170433044434,0.19203178584575653,-0.10101203620433807,0.2775131165981293,0.4639696478843689
40,0.3305232524871826,0.1955346167087555,0.6153759360313416,0.19415819644927979,-0.09671366214752197,0.28394609689712524,0.47079792618751526
60,0.34398746490478516,0.20517291128635406,0.6582188010215759,0.2034761756658554,-0.10162605345249176,0.29107701778411865,0.4800129532814026
80,0.3827924132347107,0.23418451845645905,0.7539401054382324,0.22511887550354004,-0.11991047859191895,0.30165407061576843,0.49327316880226135
100,0.4580948054790497,0.2774394750595093,1.0834487676620483,0.28207311034202576,-0.17850762605667114,0.3063335716724396,0.49756574630737305
