,NDVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
20,0.32806792855262756,0.1918780356645584,0.6103790998458862,0.1928722858428955,-0.10058136284351349,0.2796534299850464,0.4665721356868744
40,0.33004117012023926,0.19476373493671417,0.6151291131973267,0.19420239329338074,-0.097571462392807,0.2828468084335327,0.46986818313598633
60,0.34287840127944946,0.20394600927829742,0.6580389142036438,0.20345260202884674,-0.10271104425191879,0.2891753911972046,0.478303998708725
80,0.38297775387763977,0.23422029614448547,0.7495272755622864,0.22472544014453888,-0.12302640080451965,0.2979886829853058,0.48981836438179016
100,0.4585959315299988,0.2777596712112427,1.0856924057006836,0.2824564576148987,-0.17869146168231964,0.30662885308265686,0.49786460399627686
